"Personen naar door de huisarts geregistreerde diagnose; inkomen";;;;
;;;Cijfersoort;Aantal
;;;Onderwerpen;Personen met 1 of meer zorgepisodes
;;;Onderwerpen;T. Endocriene kl./metabol. /voeding
;;;Onderwerpen;Ziekten
;;;Onderwerpen;Diabetes mellitus
Perioden;Inkomensgroepen;Geslacht;Leeftijd;per 1000 personen
2006;5e 10%-inkomensgroep;Mannen;45 tot 60 jaar;42
2006;5e 10%-inkomensgroep;Mannen;60 tot 75 jaar;129
2006;5e 10%-inkomensgroep;Mannen;75 jaar of ouder;172
2006;5e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;36
2006;5e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;5e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
2006;5e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;7
2006;5e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;30
2006;5e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;123
2006;5e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;156
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;33
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;3
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;7
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;44
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;113
2006;6e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;138
2006;6e 10%-inkomensgroep;Mannen;Totaal leeftijd;34
2006;6e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;6e 10%-inkomensgroep;Mannen;15 tot 30 jaar;2
2006;6e 10%-inkomensgroep;Mannen;30 tot 45 jaar;7
2006;6e 10%-inkomensgroep;Mannen;45 tot 60 jaar;49
2006;6e 10%-inkomensgroep;Mannen;60 tot 75 jaar;120
2006;6e 10%-inkomensgroep;Mannen;75 jaar of ouder;144
2006;6e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;32
2006;6e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;6e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;3
2006;6e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;6
2006;6e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;39
2006;6e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;107
2006;6e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;133
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;33
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;2
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;6
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;47
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;99
2006;7e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;133
2006;7e 10%-inkomensgroep;Mannen;Totaal leeftijd;33
2006;7e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;7e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2006;7e 10%-inkomensgroep;Mannen;30 tot 45 jaar;5
2006;7e 10%-inkomensgroep;Mannen;45 tot 60 jaar;50
2006;7e 10%-inkomensgroep;Mannen;60 tot 75 jaar;108
2006;7e 10%-inkomensgroep;Mannen;75 jaar of ouder;140
2006;7e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;32
2006;7e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;7e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;.
2006;7e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;7
2006;7e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;43
2006;7e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;89
2006;7e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;129
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;32
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;3
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;7
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;45 tot 60 jaar;36
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;60 tot 75 jaar;110
2006;8e 10%-inkomensgroep;Totaal mannen en vrouwen;75 jaar of ouder;147
2006;8e 10%-inkomensgroep;Mannen;Totaal leeftijd;36
2006;8e 10%-inkomensgroep;Mannen;0 tot 15 jaar;.
2006;8e 10%-inkomensgroep;Mannen;15 tot 30 jaar;.
2006;8e 10%-inkomensgroep;Mannen;30 tot 45 jaar;8
2006;8e 10%-inkomensgroep;Mannen;45 tot 60 jaar;44
2006;8e 10%-inkomensgroep;Mannen;60 tot 75 jaar;126
2006;8e 10%-inkomensgroep;Mannen;75 jaar of ouder;172
2006;8e 10%-inkomensgroep;Vrouwen;Totaal leeftijd;28
2006;8e 10%-inkomensgroep;Vrouwen;0 tot 15 jaar;.
2006;8e 10%-inkomensgroep;Vrouwen;15 tot 30 jaar;4
2006;8e 10%-inkomensgroep;Vrouwen;30 tot 45 jaar;6
2006;8e 10%-inkomensgroep;Vrouwen;45 tot 60 jaar;27
2006;8e 10%-inkomensgroep;Vrouwen;60 tot 75 jaar;93
2006;8e 10%-inkomensgroep;Vrouwen;75 jaar of ouder;128
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;Totaal leeftijd;27
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;0 tot 15 jaar;.
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;15 tot 30 jaar;3
2006;9e 10%-inkomensgroep;Totaal mannen en vrouwen;30 tot 45 jaar;5
