Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
17 Papierindustrie,1989,2725,102.8
17 Papierindustrie,1990,2812,107.4
17 Papierindustrie,1991,2740,115
17 Papierindustrie,1992,2660,110.9
17 Papierindustrie,1993,2554,102.6
17 Papierindustrie,1994,2821,97
17 Papierindustrie,1995,3304,103.8
17 Papierindustrie,1996,3101,107.8
17 Papierindustrie,1997,3320,100.6
17 Papierindustrie,1998,3393,105
17 Papierindustrie,1999,3464,102.5
17 Papierindustrie,2000,3978,107.2
17 Papierindustrie,2001,3910,118.5
17 Papierindustrie,2002,3805,116.1
17 Papierindustrie,2003,3801,110.6
17 Papierindustrie,2004,3915,106.1
17 Papierindustrie,2005,4007,100
17 Papierindustrie,2006,4270,96.6
17 Papierindustrie,2007,4380,103.4
17 Papierindustrie,2008,4271,97.4
17 Papierindustrie,2009,3654,96.1
17 Papierindustrie,2010,3950,104
17 Papierindustrie,2011,4181,109.7
18 Grafische industrie,1988,2434,87.7
18 Grafische industrie,1989,2622,88.5
18 Grafische industrie,1990,2769,93
18 Grafische industrie,1991,2908,95.8
18 Grafische industrie,1992,2827,99
18 Grafische industrie,1993,2645,101.7
18 Grafische industrie,1994,2723,98.9
18 Grafische industrie,1995,2965,99.4
18 Grafische industrie,1996,3096,102.4
18 Grafische industrie,1997,3131,96.8
18 Grafische industrie,1998,3313,97.3
18 Grafische industrie,1999,3392,98.7
18 Grafische industrie,2000,3594,99
18 Grafische industrie,2001,3714,100.8
18 Grafische industrie,2002,3589,101.1
18 Grafische industrie,2003,3412,98.8
18 Grafische industrie,2004,3301,99.6
18 Grafische industrie,2005,3303,100
18 Grafische industrie,2006,3339,99
18 Grafische industrie,2007,3557,97.8
18 Grafische industrie,2008,3450,96.5
18 Grafische industrie,2009,3213,95.3
18 Grafische industrie,2010,3253,90.6
18 Grafische industrie,2011,3409,88.1
19 Aardolie-industrie,1988,6134,16.1
19 Aardolie-industrie,1989,7767,19.1
19 Aardolie-industrie,1990,8122,20.4
19 Aardolie-industrie,1991,7915,32
19 Aardolie-industrie,1992,7510,24.8
19 Aardolie-industrie,1993,7176,27.4
19 Aardolie-industrie,1994,6957,26.5
19 Aardolie-industrie,1995,7402,17.5
19 Aardolie-industrie,1996,9043,20.1
19 Aardolie-industrie,1997,9506,32.7
19 Aardolie-industrie,1998,7058,56
19 Aardolie-industrie,1999,9189,30.5
19 Aardolie-industrie,2000,16145,45.1
19 Aardolie-industrie,2001,14590,66
19 Aardolie-industrie,2002,13234,48.4
19 Aardolie-industrie,2003,13266,61.4
19 Aardolie-industrie,2004,15889,72.9
19 Aardolie-industrie,2005,21116,100
19 Aardolie-industrie,2006,25201,73.9
19 Aardolie-industrie,2007,27222,70.6
19 Aardolie-industrie,2008,34038,81.5
19 Aardolie-industrie,2009,24250,62.8
19 Aardolie-industrie,2010,32712,70.2
19 Aardolie-industrie,2011,40875,85.1
20 Chemische industrie,1988,12013,113.7
20 Chemische industrie,1989,13168,111.4
20 Chemische industrie,1990,13571,101.9
20 Chemische industrie,1991,13528,95.3
20 Chemische industrie,1992,12915,91.1
20 Chemische industrie,1993,12449,93.6
20 Chemische industrie,1994,13400,101.1
20 Chemische industrie,1995,14990,114.7
20 Chemische industrie,1996,15508,106.9
20 Chemische industrie,1997,17278,110.7
20 Chemische industrie,1998,16480,104.7
20 Chemische industrie,1999,17263,96.8
20 Chemische industrie,2000,22773,101.9
20 Chemische industrie,2001,22763,95.9
20 Chemische industrie,2002,22131,94.6
20 Chemische industrie,2003,22683,95.5
20 Chemische industrie,2004,26399,97.5
20 Chemische industrie,2005,30161,100
20 Chemische industrie,2006,33811,101.1
20 Chemische industrie,2007,35887,102.2
20 Chemische industrie,2008,36798,104.8
20 Chemische industrie,2009,30413,77.6
20 Chemische industrie,2010,37911,99.1
20 Chemische industrie,2011,42647,113.7
21 Farmaceutische industrie,1988,1682,138
21 Farmaceutische industrie,1989,1847,131.6
21 Farmaceutische industrie,1990,1903,136.1
21 Farmaceutische industrie,1991,2063,133.1
21 Farmaceutische industrie,1992,2137,140.5
21 Farmaceutische industrie,1993,2225,142.5
21 Farmaceutische industrie,1994,2331,146.2
21 Farmaceutische industrie,1995,2488,145.7
21 Farmaceutische industrie,1996,2748,144.2
21 Farmaceutische industrie,1997,2916,145.6
21 Farmaceutische industrie,1998,3138,147.4
21 Farmaceutische industrie,1999,3423,140.6
21 Farmaceutische industrie,2000,3857,132.1
21 Farmaceutische industrie,2001,4037,125.8
21 Farmaceutische industrie,2002,4361,124.4
21 Farmaceutische industrie,2003,4486,115.5
21 Farmaceutische industrie,2004,4551,111.7
21 Farmaceutische industrie,2005,4661,100
21 Farmaceutische industrie,2006,4904,87.3
21 Farmaceutische industrie,2007,5248,79
21 Farmaceutische industrie,2008,4880,105.6
21 Farmaceutische industrie,2009,4453,115.4
21 Farmaceutische industrie,2010,4902,102.5
21 Farmaceutische industrie,2011,5439,94.7
22 Rubber- en kunststofproductindustrie,1988,2281,99.3
22 Rubber- en kunststofproductindustrie,1989,2538,99.8
22 Rubber- en kunststofproductindustrie,1990,2664,101.9
22 Rubber- en kunststofproductindustrie,1991,2727,105.7
22 Rubber- en kunststofproductindustrie,1992,2670,108.6
22 Rubber- en kunststofproductindustrie,1993,2525,104.2
22 Rubber- en kunststofproductindustrie,1994,2716,100.5
22 Rubber- en kunststofproductindustrie,1995,2979,102.7
22 Rubber- en kunststofproductindustrie,1996,2890,107.8
22 Rubber- en kunststofproductindustrie,1997,3198,102.4
22 Rubber- en kunststofproductindustrie,1998,3383,105.1
22 Rubber- en kunststofproductindustrie,1999,3462,106.3
22 Rubber- en kunststofproductindustrie,2000,3864,101.4
22 Rubber- en kunststofproductindustrie,2001,3952,103.8
22 Rubber- en kunststofproductindustrie,2002,4023,105
22 Rubber- en kunststofproductindustrie,2003,4051,109.3
22 Rubber- en kunststofproductindustrie,2004,4205,102.3
22 Rubber- en kunststofproductindustrie,2005,4598,100
22 Rubber- en kunststofproductindustrie,2006,4985,96.8
22 Rubber- en kunststofproductindustrie,2007,5302,94.1
22 Rubber- en kunststofproductindustrie,2008,5372,93.7
22 Rubber- en kunststofproductindustrie,2009,4348,110.5
22 Rubber- en kunststofproductindustrie,2010,4995,96.9
22 Rubber- en kunststofproductindustrie,2011,5531,94.4
23 Bouwmaterialenindustrie,1988,2242,77.5
23 Bouwmaterialenindustrie,1989,2397,80.1
23 Bouwmaterialenindustrie,1990,2582,82.7
23 Bouwmaterialenindustrie,1991,2616,86.4
23 Bouwmaterialenindustrie,1992,2589,90.1
23 Bouwmaterialenindustrie,1993,2533,94.4
23 Bouwmaterialenindustrie,1994,2690,96.3
23 Bouwmaterialenindustrie,1995,2769,98
23 Bouwmaterialenindustrie,1996,2938,97.1
23 Bouwmaterialenindustrie,1997,3164,97.4
23 Bouwmaterialenindustrie,1998,3339,99.1
23 Bouwmaterialenindustrie,1999,3539,100.3
23 Bouwmaterialenindustrie,2000,3784,102.3
23 Bouwmaterialenindustrie,2001,3879,106.8
23 Bouwmaterialenindustrie,2002,3727,111.1
23 Bouwmaterialenindustrie,2003,3602,110.2
23 Bouwmaterialenindustrie,2004,3601,103.3
23 Bouwmaterialenindustrie,2005,3720,100
