geslacht,generatie,leeftijd,participatie
man,1981-1985,24,74.8
man,1986-1990,24,
vrouw,1906-1910,25,
vrouw,1911-1915,25,
vrouw,1916-1920,25,
vrouw,1921-1925,25,
vrouw,1926-1930,25,
vrouw,1931-1935,25,
vrouw,1936-1940,25,
vrouw,1941-1945,25,
vrouw,1946-1950,25,32.6
vrouw,1951-1955,25,42
vrouw,1956-1960,25,54.2
vrouw,1961-1965,25,63.3
vrouw,1966-1970,25,69.2
vrouw,1971-1975,25,73.2
vrouw,1976-1980,25,73.7
vrouw,1981-1985,25,75.8
vrouw,1986-1990,25,
man,1906-1910,25,
man,1911-1915,25,
man,1916-1920,25,
man,1921-1925,25,
man,1926-1930,25,
man,1931-1935,25,
man,1936-1940,25,
man,1941-1945,25,
man,1946-1950,25,90.1
man,1951-1955,25,85.2
man,1956-1960,25,78.1
man,1961-1965,25,79.7
man,1966-1970,25,78
man,1971-1975,25,82.4
man,1976-1980,25,80.6
man,1981-1985,25,81.3
man,1986-1990,25,
vrouw,1906-1910,26,
vrouw,1911-1915,26,
vrouw,1916-1920,26,
vrouw,1921-1925,26,
vrouw,1926-1930,26,
vrouw,1931-1935,26,
vrouw,1936-1940,26,
vrouw,1941-1945,26,28.9
vrouw,1946-1950,26,28
vrouw,1951-1955,26,38.3
vrouw,1956-1960,26,49.1
vrouw,1961-1965,26,62.4
vrouw,1966-1970,26,70
vrouw,1971-1975,26,75.6
vrouw,1976-1980,26,76.2
vrouw,1981-1985,26,79.2
vrouw,1986-1990,26,
man,1906-1910,26,
man,1911-1915,26,
man,1916-1920,26,
man,1921-1925,26,
man,1926-1930,26,
man,1931-1935,26,
man,1936-1940,26,
man,1941-1945,26,92.9
man,1946-1950,26,91.5
man,1951-1955,26,86.7
man,1956-1960,26,77.9
man,1961-1965,26,82.8
man,1966-1970,26,83.7
man,1971-1975,26,87.7
man,1976-1980,26,84.4
man,1981-1985,26,85.5
man,1986-1990,26,
vrouw,1906-1910,27,
vrouw,1911-1915,27,
vrouw,1916-1920,27,
vrouw,1921-1925,27,
vrouw,1926-1930,27,
vrouw,1931-1935,27,
vrouw,1936-1940,27,
vrouw,1941-1945,27,25.8
vrouw,1946-1950,27,25.8
vrouw,1951-1955,27,35.9
vrouw,1956-1960,27,48.3
vrouw,1961-1965,27,60.6
vrouw,1966-1970,27,68.6
vrouw,1971-1975,27,74.5
vrouw,1976-1980,27,77.1
vrouw,1981-1985,27,80.3
vrouw,1986-1990,27,
man,1906-1910,27,
man,1911-1915,27,
man,1916-1920,27,
man,1921-1925,27,
man,1926-1930,27,
man,1931-1935,27,
man,1936-1940,27,
man,1941-1945,27,94.4
man,1946-1950,27,92.4
man,1951-1955,27,88.3
man,1956-1960,27,82.4
man,1961-1965,27,86.4
man,1966-1970,27,86.1
man,1971-1975,27,89.5
man,1976-1980,27,87.4
man,1981-1985,27,86.5
man,1986-1990,27,
vrouw,1906-1910,28,
vrouw,1911-1915,28,
vrouw,1916-1920,28,
vrouw,1921-1925,28,
vrouw,1926-1930,28,
vrouw,1931-1935,28,
vrouw,1936-1940,28,
vrouw,1941-1945,28,22.9
vrouw,1946-1950,28,21.5
vrouw,1951-1955,28,34.2
vrouw,1956-1960,28,47.4
vrouw,1961-1965,28,59.1
vrouw,1966-1970,28,68.9
vrouw,1971-1975,28,75.2
vrouw,1976-1980,28,77.9
vrouw,1981-1985,28,81
vrouw,1986-1990,28,
man,1906-1910,28,
man,1911-1915,28,
man,1916-1920,28,
man,1921-1925,28,
man,1926-1930,28,
man,1931-1935,28,
man,1936-1940,28,
man,1941-1945,28,95.4
man,1946-1950,28,93.1
man,1951-1955,28,87.2
man,1956-1960,28,84.1
man,1961-1965,28,88.9
man,1966-1970,28,88.1
man,1971-1975,28,90
man,1976-1980,28,90.3
man,1981-1985,28,88
man,1986-1990,28,
vrouw,1906-1910,29,
vrouw,1911-1915,29,
vrouw,1916-1920,29,
vrouw,1921-1925,29,
vrouw,1926-1930,29,
vrouw,1931-1935,29,
vrouw,1936-1940,29,
vrouw,1941-1945,29,22.3
vrouw,1946-1950,29,22.5
vrouw,1951-1955,29,33
vrouw,1956-1960,29,45.2
vrouw,1961-1965,29,58.2
vrouw,1966-1970,29,68.1
vrouw,1971-1975,29,73.7
vrouw,1976-1980,29,78.4
vrouw,1981-1985,29,
vrouw,1986-1990,29,
man,1906-1910,29,
man,1911-1915,29,
man,1916-1920,29,
man,1921-1925,29,
man,1926-1930,29,
man,1931-1935,29,
man,1936-1940,29,
man,1941-1945,29,95.7
man,1946-1950,29,93
man,1951-1955,29,87.3
man,1956-1960,29,86.4
man,1961-1965,29,88
man,1966-1970,29,90.6
man,1971-1975,29,91
man,1976-1980,29,91.2
man,1981-1985,29,
man,1986-1990,29,
vrouw,1906-1910,30,
vrouw,1911-1915,30,
vrouw,1916-1920,30,
vrouw,1921-1925,30,
vrouw,1926-1930,30,
vrouw,1931-1935,30,
vrouw,1936-1940,30,
vrouw,1941-1945,30,20.4
vrouw,1946-1950,30,22.3
vrouw,1951-1955,30,31.7
vrouw,1956-1960,30,45.6
vrouw,1961-1965,30,55.8
vrouw,1966-1970,30,68.8
vrouw,1971-1975,30,72.3
vrouw,1976-1980,30,79.1
vrouw,1981-1985,30,
vrouw,1986-1990,30,
man,1906-1910,30,
man,1911-1915,30,
man,1916-1920,30,
man,1921-1925,30,
man,1926-1930,30,
man,1931-1935,30,
man,1936-1940,30,
man,1941-1945,30,95.7
man,1946-1950,30,93.9
man,1951-1955,30,86.6
man,1956-1960,30,89
man,1961-1965,30,89
man,1966-1970,30,91.1
man,1971-1975,30,90.9
man,1976-1980,30,91.8
man,1981-1985,30,
man,1986-1990,30,
vrouw,1906-1910,31,
vrouw,1911-1915,31,
vrouw,1916-1920,31,
vrouw,1921-1925,31,
vrouw,1926-1930,31,
vrouw,1931-1935,31,
vrouw,1936-1940,31,20.2
vrouw,1941-1945,31,20.2
vrouw,1946-1950,31,24.6
vrouw,1951-1955,31,31.5
vrouw,1956-1960,31,43.4
vrouw,1961-1965,31,55.9
vrouw,1966-1970,31,67.8
vrouw,1971-1975,31,72.3
vrouw,1976-1980,31,79.3
vrouw,1981-1985,31,
vrouw,1986-1990,31,
man,1906-1910,31,
man,1911-1915,31,
man,1916-1920,31,
man,1921-1925,31,
man,1926-1930,31,
man,1931-1935,31,
man,1936-1940,31,96.5
man,1941-1945,31,96.1
man,1946-1950,31,93.3
man,1951-1955,31,85.8
man,1956-1960,31,88.3
man,1961-1965,31,89.3
man,1966-1970,31,92.4
man,1971-1975,31,90.3
man,1976-1980,31,92.4
man,1981-1985,31,
man,1986-1990,31,
vrouw,1906-1910,32,
vrouw,1911-1915,32,
vrouw,1916-1920,32,
vrouw,1921-1925,32,
vrouw,1926-1930,32,
vrouw,1931-1935,32,
vrouw,1936-1940,32,20.2
vrouw,1941-1945,32,20.2
vrouw,1946-1950,32,24.5
vrouw,1951-1955,32,32.6
vrouw,1956-1960,32,44.2
vrouw,1961-1965,32,55.2
vrouw,1966-1970,32,67.5
vrouw,1971-1975,32,72.4
vrouw,1976-1980,32,80.1
vrouw,1981-1985,32,
vrouw,1986-1990,32,
man,1906-1910,32,
man,1911-1915,32,
man,1916-1920,32,
man,1921-1925,32,
man,1926-1930,32,
man,1931-1935,32,
man,1936-1940,32,96.6
man,1941-1945,32,95.3
man,1946-1950,32,93.7
man,1951-1955,32,87.3
man,1956-1960,32,89.9
man,1961-1965,32,90.1
man,1966-1970,32,92.4
man,1971-1975,32,91.6
man,1976-1980,32,92.2
man,1981-1985,32,
man,1986-1990,32,
vrouw,1906-1910,33,
vrouw,1911-1915,33,
vrouw,1916-1920,33,
vrouw,1921-1925,33,
vrouw,1926-1930,33,
vrouw,1931-1935,33,
vrouw,1936-1940,33,20.6
vrouw,1941-1945,33,18.9
vrouw,1946-1950,33,27.2
vrouw,1951-1955,33,36
vrouw,1956-1960,33,46.7
vrouw,1961-1965,33,56.2
vrouw,1966-1970,33,67.1
vrouw,1971-1975,33,72.8
vrouw,1976-1980,33,79.7
vrouw,1981-1985,33,
vrouw,1986-1990,33,
man,1906-1910,33,
man,1911-1915,33,
man,1916-1920,33,
man,1921-1925,33,
man,1926-1930,33,
man,1931-1935,33,
man,1936-1940,33,96.4
man,1941-1945,33,94.8
man,1946-1950,33,91.2
man,1951-1955,33,88.4
man,1956-1960,33,90.1
man,1961-1965,33,90.5
man,1966-1970,33,92.4
man,1971-1975,33,92.5
man,1976-1980,33,92.6
man,1981-1985,33,
man,1986-1990,33,
vrouw,1906-1910,34,
vrouw,1911-1915,34,
vrouw,1916-1920,34,
vrouw,1921-1925,34,
vrouw,1926-1930,34,
vrouw,1931-1935,34,
vrouw,1936-1940,34,20.9
vrouw,1941-1945,34,21.1
vrouw,1946-1950,34,28.9
vrouw,1951-1955,34,37
vrouw,1956-1960,34,46.7
vrouw,1961-1965,34,56.9
vrouw,1966-1970,34,65.7
vrouw,1971-1975,34,74.5
vrouw,1976-1980,34,
vrouw,1981-1985,34,
vrouw,1986-1990,34,
man,1906-1910,34,
man,1911-1915,34,
man,1916-1920,34,
man,1921-1925,34,
man,1926-1930,34,
man,1931-1935,34,
man,1936-1940,34,96.5
man,1941-1945,34,94.6
man,1946-1950,34,90.6
man,1951-1955,34,89
man,1956-1960,34,90
man,1961-1965,34,92.3
man,1966-1970,34,91.4
man,1971-1975,34,92.7
man,1976-1980,34,
man,1981-1985,34,
man,1986-1990,34,
vrouw,1906-1910,35,
vrouw,1911-1915,35,
