Soort,Regio,Jaar,Overlast
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2010,1.9
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2011,1.7
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2008,1.1
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2009,1.2
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2010,1.1
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2011,1.1
Dreiging - schaalscore,Zeeland (PO),2008,0.9
Dreiging - schaalscore,Zeeland (PO),2009,1
Dreiging - schaalscore,Zeeland (PO),2010,0.9
Dreiging - schaalscore,Zeeland (PO),2011,0.8
Dreiging - schaalscore,Midden- en West-Brabant (PO),2008,1.3
Dreiging - schaalscore,Midden- en West-Brabant (PO),2009,1.1
Dreiging - schaalscore,Midden- en West-Brabant (PO),2010,1.4
Dreiging - schaalscore,Midden- en West-Brabant (PO),2011,1.1
Dreiging - schaalscore,Brabant-Noord (PO),2008,0.9
Dreiging - schaalscore,Brabant-Noord (PO),2009,0.9
Dreiging - schaalscore,Brabant-Noord (PO),2010,0.8
Dreiging - schaalscore,Brabant-Noord (PO),2011,0.8
Dreiging - schaalscore,Brabant-Zuidoost (PO),2008,0.9
Dreiging - schaalscore,Brabant-Zuidoost (PO),2009,1
Dreiging - schaalscore,Brabant-Zuidoost (PO),2010,1
Dreiging - schaalscore,Brabant-Zuidoost (PO),2011,1
Dreiging - schaalscore,Limburg-Noord (PO),2008,0.9
Dreiging - schaalscore,Limburg-Noord (PO),2009,0.9
Dreiging - schaalscore,Limburg-Noord (PO),2010,1.1
Dreiging - schaalscore,Limburg-Noord (PO),2011,1
Dreiging - schaalscore,Limburg-Zuid (PO),2008,1.3
Dreiging - schaalscore,Limburg-Zuid (PO),2009,1.3
Dreiging - schaalscore,Limburg-Zuid (PO),2010,1.5
Dreiging - schaalscore,Limburg-Zuid (PO),2011,1.2
Dreiging - schaalscore,Flevoland (PO),2008,1.2
Dreiging - schaalscore,Flevoland (PO),2009,1.2
Dreiging - schaalscore,Flevoland (PO),2010,1.2
Dreiging - schaalscore,Flevoland (PO),2011,1.1
Overlast vermogensdelicten -schaalscore,Nederland,2008,2.7
Overlast vermogensdelicten -schaalscore,Nederland,2009,2.7
Overlast vermogensdelicten -schaalscore,Nederland,2010,2.8
Overlast vermogensdelicten -schaalscore,Nederland,2011,2.7
Overlast vermogensdelicten -schaalscore,Groningen (PO),2008,2.3
Overlast vermogensdelicten -schaalscore,Groningen (PO),2009,2.2
Overlast vermogensdelicten -schaalscore,Groningen (PO),2010,2.2
Overlast vermogensdelicten -schaalscore,Groningen (PO),2011,2.1
Overlast vermogensdelicten -schaalscore,Friesland (PO),2008,1.9
Overlast vermogensdelicten -schaalscore,Friesland (PO),2009,1.8
Overlast vermogensdelicten -schaalscore,Friesland (PO),2010,1.8
Overlast vermogensdelicten -schaalscore,Friesland (PO),2011,1.8
Overlast vermogensdelicten -schaalscore,Drenthe (PO),2008,2
Overlast vermogensdelicten -schaalscore,Drenthe (PO),2009,2.2
