Jaar,Sector,Energieaanbod,Energieverbruik
2001,Wegverkeer,442.07,442.07
2001,Scheepvaart,14.16,14.16
2001,Luchtvaart,3.31,3.31
2001,Particuliere huishoudens,447.19,447.19
2001,Landbouw  visserij en dienstverlening,526.51,526.51
2001,Landbouw,168.11,
2001,Visserij,,
2001,E Waterbedrijven en afvalbeheer,49.61,
2001,G-U Dienstverlening,308.79,
2002,Nederland totaal,3165.34,3165.53
2002,Energiesector,598.79,598.96
2002,06 Winning van aardolie en aardgas,39.9,39.9
2002,Cokesfabrieken,13.09,13.09
2002,192 Aardolie-industrie,173.09,173.09
2002,35 Energiebedrijven,372.71,372.88
2002,Totaal energieafnemers,2566.56,2566.56
2002,Nijverheid (geen energiesector),1126.62,1126.63
2002,08 Delfstoffenwinning (geen olie en gas),13.72,13.72
2002,10-12 Voedings-  genotmiddelenindustrie,100.48,100.48
2002,13-15 Textiel-  kleding-  lederindustrie,7.51,7.51
2002,16 Houtindustrie,3.65,3.65
2002,17-18 Papier- en grafische industrie,43.02,43.02
2002,20-21 Chemie en farmaceutische industrie,706.2,706.21
2002,Basischemie zonder 2013-2015,49.88,49.88
2002,2013 Overige anorganische basischemie,48.39,48.39
2002,2014 Overige organische basischemie,491.02,491.02
2002,2015 Kunstmestindustrie,91.26,91.27
2002,Chemische en farmaceutische producten,25.65,25.65
2002,23 Bouwmaterialenindustrie,32.07,32.07
2002,24 Basismetaalindustrie,126.16,126.16
2002,IJzer- en staalindustrie,96.61,96.61
2002,Non-ferrometalenindustrie,29.56,29.56
2002,25-28 Metaalproducten/machine-industrie,38.97,38.97
2002,29-30 Transportmiddelenindustrie,5.86,5.86
2002,31-33 Overige industrie en reparatie,20.27,20.27
2002,F Bouwnijverheid,28.71,
2002,Vervoer,476.35,476.35
2002,Railverkeer,7.71,7.71
2002,Wegverkeer,451.3,451.3
2002,Scheepvaart,13.61,13.61
2002,Luchtvaart,3.73,3.73
2002,Particuliere huishoudens,430.29,430.29
2002,Landbouw  visserij en dienstverlening,533.29,533.29
2002,Landbouw,165.22,
2002,Visserij,,
2002,E Waterbedrijven en afvalbeheer,51.07,
2002,G-U Dienstverlening,317.01,
2003,Nederland totaal,3250.83,3250.83
2003,Energiesector,611.22,611.09
2003,06 Winning van aardolie en aardgas,39.25,39.25
2003,Cokesfabrieken,13.05,13.18
2003,192 Aardolie-industrie,182.54,182.54
2003,35 Energiebedrijven,376.38,376.12
2003,Totaal energieafnemers,2639.61,2639.74
2003,Nijverheid (geen energiesector),1170.47,1170.6
2003,08 Delfstoffenwinning (geen olie en gas),15.67,15.67
2003,10-12 Voedings-  genotmiddelenindustrie,96.52,96.52
2003,13-15 Textiel-  kleding-  lederindustrie,7.04,7.04
2003,16 Houtindustrie,3.41,3.41
2003,17-18 Papier- en grafische industrie,41.82,41.82
2003,20-21 Chemie en farmaceutische industrie,753.37,753.5
2003,Basischemie zonder 2013-2015,53.74,53.74
2003,2013 Overige anorganische basischemie,46.21,46.34
2003,2014 Overige organische basischemie,537.62,537.63
2003,2015 Kunstmestindustrie,90.85,90.85
2003,Chemische en farmaceutische producten,24.94,24.94
2003,23 Bouwmaterialenindustrie,31.85,31.85
2003,24 Basismetaalindustrie,130.33,130.33
2003,IJzer- en staalindustrie,101.48,101.48
2003,Non-ferrometalenindustrie,28.85,28.85
2003,25-28 Metaalproducten/machine-industrie,39.87,39.87
2003,29-30 Transportmiddelenindustrie,5.65,5.65
2003,31-33 Overige industrie en reparatie,18.11,18.11
2003,F Bouwnijverheid,26.83,
2003,Vervoer,482.35,482.35
2003,Railverkeer,7.68,7.68
2003,Wegverkeer,458.77,458.77
2003,Scheepvaart,12.59,12.59
2003,Luchtvaart,3.3,3.3
2003,Particuliere huishoudens,440.91,440.91
2003,Landbouw  visserij en dienstverlening,545.88,545.88
2003,Landbouw,171.93,
2003,Visserij,,
2003,E Waterbedrijven en afvalbeheer,49.46,
2003,G-U Dienstverlening,324.49,
2004,Nederland totaal,3317.68,3317.25
2004,Energiesector,626.2,625.77
2004,06 Winning van aardolie en aardgas,40.82,40.82
2004,Cokesfabrieken,13.98,13.98
2004,192 Aardolie-industrie,187.51,187.51
2004,35 Energiebedrijven,383.89,383.47
2004,Totaal energieafnemers,2691.48,2691.48
2004,Nijverheid (geen energiesector),1208.31,1208.31
2004,08 Delfstoffenwinning (geen olie en gas),16.08,16.08
2004,10-12 Voedings-  genotmiddelenindustrie,95.88,95.88
2004,13-15 Textiel-  kleding-  lederindustrie,6.24,6.24
2004,16 Houtindustrie,3.21,3.21
2004,17-18 Papier- en grafische industrie,41.77,41.77
2004,20-21 Chemie en farmaceutische industrie,782.58,782.58
2004,Basischemie zonder 2013-2015,54.97,54.97
2004,2013 Overige anorganische basischemie,49.24,49.24
2004,2014 Overige organische basischemie,562.99,562.99
2004,2015 Kunstmestindustrie,94.54,94.54
2004,Chemische en farmaceutische producten,20.85,20.85
2004,23 Bouwmaterialenindustrie,32.24,32.24
2004,24 Basismetaalindustrie,135.16,135.15
2004,IJzer- en staalindustrie,103.71,103.71
2004,Non-ferrometalenindustrie,31.44,31.44
2004,25-28 Metaalproducten/machine-industrie,40.32,40.32
2004,29-30 Transportmiddelenindustrie,5.38,5.38
2004,31-33 Overige industrie en reparatie,20.2,20.2
2004,F Bouwnijverheid,29.26,
2004,Vervoer,488.37,488.37
2004,Railverkeer,8.21,8.21
2004,Wegverkeer,464.05,464.05
2004,Scheepvaart,12.9,12.9
2004,Luchtvaart,3.21,3.21
2004,Particuliere huishoudens,437.93,437.93
2004,Landbouw  visserij en dienstverlening,556.87,556.87
2004,Landbouw,172.99,
2004,Visserij,,
2004,E Waterbedrijven en afvalbeheer,54.97,
2004,G-U Dienstverlening,328.91,
2005,Nederland totaal,3315.13,3315.95
2005,Energiesector,610.07,610.14
