Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
IJsselland (PO),Gewelds- en seksuele misdrijven,2010,2835,5.6,2000,70.6
IJsselland (PO),Gewelds- en seksuele misdrijven,2011*,2795,5.5,1975,70.6
Twente (PO),Totaal,2005,39420,63.9,9460,24
Twente (PO),Totaal,2006,37310,60.4,9485,25.4
Twente (PO),Totaal,2007,36990,59.8,8825,23.9
Twente (PO),Totaal,2008,36885,59.6,8900,24.1
Twente (PO),Totaal,2009,37285,60,9195,24.7
Twente (PO),Totaal,2010,35690,57.2,9005,25.2
Twente (PO),Totaal,2011*,36100,57.7,8585,23.8
Twente (PO),Vermogensmisdrijven,2005,22145,35.9,3010,13.6
Twente (PO),Vermogensmisdrijven,2006,20030,32.4,2970,14.8
Twente (PO),Vermogensmisdrijven,2007,19890,32.2,2440,12.3
Twente (PO),Vermogensmisdrijven,2008,19620,31.7,2440,12.4
Twente (PO),Vermogensmisdrijven,2009,21195,34.1,2740,12.9
Twente (PO),Vermogensmisdrijven,2010,20565,33,2760,13.4
Twente (PO),Vermogensmisdrijven,2011*,21060,33.7,2725,12.9
Twente (PO),Vernielingen/misdr.openb.orde,2005,7245,11.7,1005,13.9
Twente (PO),Vernielingen/misdr.openb.orde,2006,7170,11.6,1080,15.1
Twente (PO),Vernielingen/misdr.openb.orde,2007,7035,11.4,1145,16.3
Twente (PO),Vernielingen/misdr.openb.orde,2008,7305,11.8,1330,18.2
Twente (PO),Vernielingen/misdr.openb.orde,2009,6465,10.4,1245,19.3
Twente (PO),Vernielingen/misdr.openb.orde,2010,5760,9.2,1265,22
Twente (PO),Vernielingen/misdr.openb.orde,2011*,5585,8.9,1140,20.4
Twente (PO),Gewelds- en seksuele misdrijven,2005,3955,6.4,2030,51.4
Twente (PO),Gewelds- en seksuele misdrijven,2006,3940,6.4,1955,49.6
Twente (PO),Gewelds- en seksuele misdrijven,2007,3915,6.3,1990,50.8
Twente (PO),Gewelds- en seksuele misdrijven,2008,3780,6.1,1930,51
Twente (PO),Gewelds- en seksuele misdrijven,2009,3890,6.3,2345,60.3
Twente (PO),Gewelds- en seksuele misdrijven,2010,3690,5.9,2410,65.4
Twente (PO),Gewelds- en seksuele misdrijven,2011*,3700,5.9,2385,64.5
Noord- en Oost-Gelderland (PO),Totaal,2005,51080,63.2,12290,24.1
Noord- en Oost-Gelderland (PO),Totaal,2006,49705,61.5,11980,24.1
Noord- en Oost-Gelderland (PO),Totaal,2007,48400,60,11315,23.4
Noord- en Oost-Gelderland (PO),Totaal,2008,44740,55.5,10835,24.2
Noord- en Oost-Gelderland (PO),Totaal,2009,45625,56.4,10785,23.6
Noord- en Oost-Gelderland (PO),Totaal,2010,44755,55.3,11020,24.6
Noord- en Oost-Gelderland (PO),Totaal,2011*,43125,53.2,10335,24
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2005,27205,33.7,3585,13.2
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2006,26125,32.3,3335,12.8
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2007,25145,31.2,3145,12.5
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2008,22715,28.2,2975,13.1
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2009,24955,30.9,2945,11.8
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2010,25440,31.4,3255,12.8
Noord- en Oost-Gelderland (PO),Vermogensmisdrijven,2011*,25220,31.1,3200,12.7
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2005,10755,13.3,1515,14.1
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2006,10150,12.6,1430,14.1
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2007,10420,12.9,1415,13.6
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2008,10025,12.4,1460,14.6
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2009,9200,11.4,1570,17.1
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2010,7945,9.8,1555,19.6
Noord- en Oost-Gelderland (PO),Vernielingen/misdr.openb.orde,2011*,7165,8.8,1390,19.4
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2005,4650,5.8,2670,57.4
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2006,4940,6.1,2960,59.9
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2007,4975,6.2,2860,57.5
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2008,4495,5.6,2525,56.1
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2009,4485,5.5,2870,64
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2010,4240,5.2,2750,64.9
Noord- en Oost-Gelderland (PO),Gewelds- en seksuele misdrijven,2011*,4165,5.1,2715,65.2
Gelderland-Midden (PO),Totaal,2005,47770,74.7,12040,25.2
Gelderland-Midden (PO),Totaal,2006,46035,71.7,11335,24.6
Gelderland-Midden (PO),Totaal,2007,47345,73.4,11180,23.6
Gelderland-Midden (PO),Totaal,2008,46465,71.7,10165,21.9
Gelderland-Midden (PO),Totaal,2009,46405,71.1,10185,21.9
Gelderland-Midden (PO),Totaal,2010,45075,68.6,10115,22.4
Gelderland-Midden (PO),Totaal,2011*,43815,66.4,9635,22
Gelderland-Midden (PO),Vermogensmisdrijven,2005,26850,42,3395,12.6
Gelderland-Midden (PO),Vermogensmisdrijven,2006,25940,40.4,3250,12.5
Gelderland-Midden (PO),Vermogensmisdrijven,2007,26640,41.3,3190,12
Gelderland-Midden (PO),Vermogensmisdrijven,2008,26030,40.2,3115,12
Gelderland-Midden (PO),Vermogensmisdrijven,2009,27640,42.4,3125,11.3
Gelderland-Midden (PO),Vermogensmisdrijven,2010,27600,42,3250,11.8
Gelderland-Midden (PO),Vermogensmisdrijven,2011*,26810,40.7,3080,11.5
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2005,8545,13.4,1485,17.4
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2006,8560,13.3,1475,17.3
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2007,8840,13.7,1530,17.3
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2008,9140,14.1,1270,13.9
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2009,8120,12.4,1340,16.5
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2010,7260,11.1,1435,19.8
Gelderland-Midden (PO),Vernielingen/misdr.openb.orde,2011*,6815,10.3,1200,17.6
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2005,5110,8,3160,61.8
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2006,4805,7.5,2960,61.6
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2007,4915,7.6,2900,59
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2008,4630,7.1,2585,55.8
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2009,4205,6.4,2575,61.2
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2010,3770,5.7,2530,67
Gelderland-Midden (PO),Gewelds- en seksuele misdrijven,2011*,3860,5.9,2355,61
Gelderland-Zuid (PO),Totaal,2005,44285,84.4,10385,23.5
Gelderland-Zuid (PO),Totaal,2006,43030,81.8,10095,23.5
Gelderland-Zuid (PO),Totaal,2007,40365,76.5,9860,24.4
Gelderland-Zuid (PO),Totaal,2008,39550,74.8,9195,23.3
Gelderland-Zuid (PO),Totaal,2009,40110,75.7,9335,23.3
Gelderland-Zuid (PO),Totaal,2010,36750,69,8715,23.7
Gelderland-Zuid (PO),Totaal,2011*,37080,69.4,7915,21.3
Gelderland-Zuid (PO),Vermogensmisdrijven,2005,26535,50.6,3015,11.4
Gelderland-Zuid (PO),Vermogensmisdrijven,2006,25455,48.4,2815,11.1
Gelderland-Zuid (PO),Vermogensmisdrijven,2007,22800,43.2,2870,12.6
Gelderland-Zuid (PO),Vermogensmisdrijven,2008,22560,42.7,2620,11.6
Gelderland-Zuid (PO),Vermogensmisdrijven,2009,24015,45.3,2710,11.3
Gelderland-Zuid (PO),Vermogensmisdrijven,2010,22610,42.5,2630,11.6
Gelderland-Zuid (PO),Vermogensmisdrijven,2011*,23395,43.8,2225,9.5
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2005,7445,14.2,1340,18
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2006,7370,14,1285,17.5
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2007,7435,14.1,1290,17.3
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2008,7125,13.5,1155,16.2
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2009,6630,12.5,1165,17.6
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2010,5800,10.9,1175,20.2
Gelderland-Zuid (PO),Vernielingen/misdr.openb.orde,2011*,5480,10.3,1065,19.5
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2005,3750,7.2,2545,67.9
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2006,3765,7.2,2630,69.9
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2007,3695,7,2560,69.3
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2008,3575,6.8,2420,67.7
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2009,3435,6.5,2375,69.2
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2010,3115,5.9,2150,69
Gelderland-Zuid (PO),Gewelds- en seksuele misdrijven,2011*,3245,6.1,2100,64.8
Utrecht (PO),Totaal,2005,111490,95.2,23840,21.4
Utrecht (PO),Totaal,2006,110205,93.4,22730,20.6
Utrecht (PO),Totaal,2007,105145,88.3,21655,20.6
Utrecht (PO),Totaal,2008,102785,85.6,21990,21.4
Utrecht (PO),Totaal,2009,96595,79.8,21230,22
Utrecht (PO),Totaal,2010,89405,73.2,19785,22.1
Utrecht (PO),Totaal,2011*,85140,69.3,18530,21.8
Utrecht (PO),Vermogensmisdrijven,2005,70865,60.5,8460,11.9
Utrecht (PO),Vermogensmisdrijven,2006,70230,59.5,7910,11.3
Utrecht (PO),Vermogensmisdrijven,2007,64905,54.5,7310,11.3
Utrecht (PO),Vermogensmisdrijven,2008,63805,53.1,7570,11.9
Utrecht (PO),Vermogensmisdrijven,2009,59980,49.5,7090,11.8
Utrecht (PO),Vermogensmisdrijven,2010,57890,47.4,7120,12.3
Utrecht (PO),Vermogensmisdrijven,2011*,54645,44.5,6520,11.9
Utrecht (PO),Vernielingen/misdr.openb.orde,2005,18025,15.4,2715,15.1
Utrecht (PO),Vernielingen/misdr.openb.orde,2006,18200,15.4,2835,15.6
Utrecht (PO),Vernielingen/misdr.openb.orde,2007,18490,15.5,2680,14.5
Utrecht (PO),Vernielingen/misdr.openb.orde,2008,16745,13.9,2465,14.7
Utrecht (PO),Vernielingen/misdr.openb.orde,2009,14735,12.2,2430,16.5
Utrecht (PO),Vernielingen/misdr.openb.orde,2010,12885,10.6,2440,18.9
Utrecht (PO),Vernielingen/misdr.openb.orde,2011*,12060,9.8,2275,18.9
Utrecht (PO),Gewelds- en seksuele misdrijven,2005,8115,6.9,5180,63.8
Utrecht (PO),Gewelds- en seksuele misdrijven,2006,7625,6.5,4910,64.4
Utrecht (PO),Gewelds- en seksuele misdrijven,2007,7470,6.3,4625,61.9
Utrecht (PO),Gewelds- en seksuele misdrijven,2008,7715,6.4,4880,63.2
Utrecht (PO),Gewelds- en seksuele misdrijven,2009,7640,6.3,4725,61.9
Utrecht (PO),Gewelds- en seksuele misdrijven,2010,7010,5.7,4535,64.7
