Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
Limburg-Noord (PO),Vermogensmisdrijven,2008,21285,41.5,1950,9.2
Limburg-Noord (PO),Vermogensmisdrijven,2009,20255,39.4,2245,11.1
Limburg-Noord (PO),Vermogensmisdrijven,2010,19225,37.3,2385,12.4
Limburg-Noord (PO),Vermogensmisdrijven,2011*,20040,38.9,2230,11.1
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2005,6435,12.5,845,13.1
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2006,6005,11.7,800,13.3
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2007,6245,12.2,885,14.1
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2008,5620,11,835,14.9
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2009,5690,11.1,1175,20.7
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2010,5520,10.7,1115,20.2
Limburg-Noord (PO),Vernielingen/misdr.openb.orde,2011*,4570,8.9,880,19.3
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2005,4035,7.9,1860,46.1
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2006,3960,7.7,1885,47.6
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2007,3895,7.6,1815,46.6
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2008,3500,6.8,1765,50.4
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2009,3430,6.7,2305,67.2
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2010,3230,6.3,2095,64.8
Limburg-Noord (PO),Gewelds- en seksuele misdrijven,2011*,3020,5.9,1855,61.4
Limburg-Zuid (PO),Totaal,2005,56500,90.6,13780,24.4
Limburg-Zuid (PO),Totaal,2006,53925,87.1,13180,24.4
Limburg-Zuid (PO),Totaal,2007,55145,89.7,13215,24
Limburg-Zuid (PO),Totaal,2008,55415,90.7,13055,23.6
Limburg-Zuid (PO),Totaal,2009,54830,90,12700,23.2
Limburg-Zuid (PO),Totaal,2010,50780,83.5,11300,22.3
Limburg-Zuid (PO),Totaal,2011*,52655,86.7,9875,18.8
Limburg-Zuid (PO),Vermogensmisdrijven,2005,33860,54.3,3865,11.4
Limburg-Zuid (PO),Vermogensmisdrijven,2006,31575,51,3770,11.9
Limburg-Zuid (PO),Vermogensmisdrijven,2007,31600,51.4,3550,11.2
Limburg-Zuid (PO),Vermogensmisdrijven,2008,33215,54.4,3880,11.7
Limburg-Zuid (PO),Vermogensmisdrijven,2009,33135,54.4,3530,10.6
Limburg-Zuid (PO),Vermogensmisdrijven,2010,29980,49.3,3355,11.2
Limburg-Zuid (PO),Vermogensmisdrijven,2011*,32980,54.3,3200,9.7
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2005,8985,14.4,1895,21.1
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2006,9110,14.7,1770,19.4
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2007,9990,16.3,1855,18.6
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2008,9660,15.8,1850,19.2
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2009,9025,14.8,1655,18.3
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2010,7930,13,1470,18.6
Limburg-Zuid (PO),Vernielingen/misdr.openb.orde,2011*,7450,12.3,1135,15.2
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2005,4640,7.4,3270,70.5
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2006,4680,7.6,3275,69.9
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2007,4735,7.7,3340,70.5
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2008,4445,7.3,3150,70.8
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2009,4505,7.4,3175,70.4
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2010,4545,7.5,2815,61.9
Limburg-Zuid (PO),Gewelds- en seksuele misdrijven,2011*,4385,7.2,2530,57.7
Flevoland (PO),Totaal,2005,28000,76.5,7470,26.7
Flevoland (PO),Totaal,2006,28580,77.1,7615,26.6
Flevoland (PO),Totaal,2007,29420,78.6,7975,27.1
Flevoland (PO),Totaal,2008,28705,75.8,7975,27.8
Flevoland (PO),Totaal,2009,25510,66.5,7030,27.6
Flevoland (PO),Totaal,2010,25420,65.5,6710,26.4
Flevoland (PO),Totaal,2011*,25735,65.7,6545,25.4
Flevoland (PO),Vermogensmisdrijven,2005,14820,40.5,2640,17.8
Flevoland (PO),Vermogensmisdrijven,2006,15525,41.9,2580,16.6
Flevoland (PO),Vermogensmisdrijven,2007,15700,41.9,2680,17.1
Flevoland (PO),Vermogensmisdrijven,2008,15155,40,2535,16.7
Flevoland (PO),Vermogensmisdrijven,2009,13355,34.8,2175,16.3
Flevoland (PO),Vermogensmisdrijven,2010,13855,35.7,2215,16
Flevoland (PO),Vermogensmisdrijven,2011*,14525,37.1,2195,15.1
Flevoland (PO),Vernielingen/misdr.openb.orde,2005,6790,18.6,1140,16.8
Flevoland (PO),Vernielingen/misdr.openb.orde,2006,6765,18.3,1240,18.3
Flevoland (PO),Vernielingen/misdr.openb.orde,2007,7165,19.1,1180,16.4
Flevoland (PO),Vernielingen/misdr.openb.orde,2008,6810,18,1155,17
Flevoland (PO),Vernielingen/misdr.openb.orde,2009,5585,14.6,975,17.4
Flevoland (PO),Vernielingen/misdr.openb.orde,2010,4915,12.7,865,17.6
Flevoland (PO),Vernielingen/misdr.openb.orde,2011*,4865,12.4,850,17.5
Flevoland (PO),Gewelds- en seksuele misdrijven,2005,2515,6.9,1905,75.7
Flevoland (PO),Gewelds- en seksuele misdrijven,2006,2670,7.2,2035,76.2
Flevoland (PO),Gewelds- en seksuele misdrijven,2007,2650,7.1,2010,75.8
Flevoland (PO),Gewelds- en seksuele misdrijven,2008,2815,7.4,2105,74.7
Flevoland (PO),Gewelds- en seksuele misdrijven,2009,2480,6.5,1860,75.1
Flevoland (PO),Gewelds- en seksuele misdrijven,2010,2360,6.1,1630,69.1
Flevoland (PO),Gewelds- en seksuele misdrijven,2011*,2385,6.1,1550,64.9
Niet in te delen (PO),Totaal,2005,1340,,230,17.3
Niet in te delen (PO),Totaal,2006,1510,,245,16.3
Niet in te delen (PO),Totaal,2007,1230,,155,12.8
Niet in te delen (PO),Totaal,2008,1025,,140,13.5
Niet in te delen (PO),Totaal,2009,765,,140,18.3
Niet in te delen (PO),Totaal,2010,800,,190,23.9
Niet in te delen (PO),Totaal,2011*,3675,,1200,32.7
Niet in te delen (PO),Vermogensmisdrijven,2005,950,,30,3.3
Niet in te delen (PO),Vermogensmisdrijven,2006,1170,,50,4.3
Niet in te delen (PO),Vermogensmisdrijven,2007,940,,15,1.6
Niet in te delen (PO),Vermogensmisdrijven,2008,815,,20,2.5
Niet in te delen (PO),Vermogensmisdrijven,2009,565,,5,1.1
Niet in te delen (PO),Vermogensmisdrijven,2010,500,,15,2.6
Niet in te delen (PO),Vermogensmisdrijven,2011*,1760,,340,19.4
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2005,110,,20,18.5
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2006,80,,20,24.4
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2007,85,,25,28.2
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2008,50,,20,36.5
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2009,25,,15,48.1
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2010,50,,25,50
Niet in te delen (PO),Vernielingen/misdr.openb.orde,2011*,925,,85,9.3
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2005,55,,30,50
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2006,60,,30,50.8
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2007,40,,15,43.6
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2008,35,,15,38.9
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2009,35,,15,40
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2010,40,,20,42.9
Niet in te delen (PO),Gewelds- en seksuele misdrijven,2011*,240,,155,65.1
