gender,age,year,prognosis
Female,40-45,2017,539002
TOTAL,40-45,2017,1075326
Male,45-50,2017,641891
Female,45-50,2017,636958
TOTAL,45-50,2017,1278849
Male,50-55,2017,641938
Female,50-55,2017,634244
TOTAL,50-55,2017,1276182
Male,55-60,2017,593117
Female,55-60,2017,593673
TOTAL,55-60,2017,1186791
Male,60-65,2017,531477
Female,60-65,2017,535765
TOTAL,60-65,2017,1067241
Male,65-70,2017,501859
Female,65-70,2017,512098
TOTAL,65-70,2017,1013956
Male,70-75,2017,392417
Female,70-75,2017,416003
TOTAL,70-75,2017,808420
Male,75-80,2017,262544
Female,75-80,2017,308205
TOTAL,75-80,2017,570749
Male,80-85,2017,166901
Female,80-85,2017,234519
TOTAL,80-85,2017,401419
Male,85-90,2017,85656
Female,85-90,2017,156478
TOTAL,85-90,2017,242134
Male,90-95,2017,27925
Female,90-95,2017,73483
TOTAL,90-95,2017,101408
Male,95+,2017,5121
Female,95+,2017,20663
TOTAL,95+,2017,25784
Male,TOTAL,2017,8449335
Female,TOTAL,2017,8610002
TOTAL,TOTAL,2017,17059338
Male,00-05,2018,465939
Female,00-05,2018,444423
TOTAL,00-05,2018,910363
Male,05-10,2018,470005
Female,05-10,2018,448512
TOTAL,05-10,2018,918518
Male,10-15,2018,487928
Female,10-15,2018,466806
TOTAL,10-15,2018,954734
Male,15-20,2018,527020
Female,15-20,2018,504287
TOTAL,15-20,2018,1031307
Male,20-25,2018,529963
Female,20-25,2018,517866
TOTAL,20-25,2018,1047829
Male,25-30,2018,553848
Female,25-30,2018,544586
TOTAL,25-30,2018,1098434
Male,30-35,2018,522984
Female,30-35,2018,517589
TOTAL,30-35,2018,1040574
Male,35-40,2018,508460
Female,35-40,2018,508965
TOTAL,35-40,2018,1017425
Male,40-45,2018,517378
Female,40-45,2018,519600
TOTAL,40-45,2018,1036978
Male,45-50,2018,631515
Female,45-50,2018,630477
TOTAL,45-50,2018,1261992
Male,50-55,2018,639470
Female,50-55,2018,631824
TOTAL,50-55,2018,1271293
Male,55-60,2018,601860
Female,55-60,2018,602542
TOTAL,55-60,2018,1204402
Male,60-65,2018,536020
Female,60-65,2018,541602
TOTAL,60-65,2018,1077621
Male,65-70,2018,493610
Female,65-70,2018,503511
TOTAL,65-70,2018,997121
Male,70-75,2018,423469
Female,70-75,2018,448664
TOTAL,70-75,2018,872133
Male,75-80,2018,272002
Female,75-80,2018,315563
TOTAL,75-80,2018,587565
Male,80-85,2018,171192
Female,80-85,2018,236209
TOTAL,80-85,2018,407402
Male,85-90,2018,89626
Female,85-90,2018,160027
TOTAL,85-90,2018,249653
Male,90-95,2018,29219
Female,90-95,2018,74398
TOTAL,90-95,2018,103617
Male,95+,2018,5565
Female,95+,2018,21898
TOTAL,95+,2018,27462
Male,TOTAL,2018,8477072
Female,TOTAL,2018,8639349
TOTAL,TOTAL,2018,17116422
Male,00-05,2019,468098
Female,00-05,2019,446451
TOTAL,00-05,2019,914550
Male,05-10,2019,467561
Female,05-10,2019,446630
TOTAL,05-10,2019,914192
Male,10-15,2019,480510
Female,10-15,2019,459402
TOTAL,10-15,2019,939912
Male,15-20,2019,527071
Female,15-20,2019,504300
TOTAL,15-20,2019,1031371
Male,20-25,2019,531488
Female,20-25,2019,519095
TOTAL,20-25,2019,1050583
Male,25-30,2019,557109
Female,25-30,2019,547979
TOTAL,25-30,2019,1105088
Male,30-35,2019,530715
Female,30-35,2019,524982
TOTAL,30-35,2019,1055696
Male,35-40,2019,507158
Female,35-40,2019,507458
TOTAL,35-40,2019,1014616
Male,40-45,2019,508437
Female,40-45,2019,510755
TOTAL,40-45,2019,1019191
Male,45-50,2019,612118
Female,45-50,2019,613643
TOTAL,45-50,2019,1225761
Male,50-55,2019,635202
Female,50-55,2019,629280
TOTAL,50-55,2019,1264482
Male,55-60,2019,610929
Female,55-60,2019,610964
TOTAL,55-60,2019,1221893
Male,60-65,2019,543352
Female,60-65,2019,549556
TOTAL,60-65,2019,1092908
Male,65-70,2019,489745
Female,65-70,2019,500918
TOTAL,65-70,2019,990663
Male,70-75,2019,443907
Female,70-75,2019,469350
TOTAL,70-75,2019,913257
Male,75-80,2019,283201
Female,75-80,2019,325194
TOTAL,75-80,2019,608395
Male,80-85,2019,178576
Female,80-85,2019,241826
TOTAL,80-85,2019,420403
Male,85-90,2019,92632
Female,85-90,2019,161498
TOTAL,85-90,2019,254129
Male,90-95,2019,30733
Female,90-95,2019,75868
TOTAL,90-95,2019,106601
Male,95+,2019,6016
Female,95+,2019,23223
TOTAL,95+,2019,29239
Male,TOTAL,2019,8504558
Female,TOTAL,2019,8668370
TOTAL,TOTAL,2019,17172928
Male,00-05,2020,470737
Female,00-05,2020,448905
TOTAL,00-05,2020,919643
Male,05-10,2020,465524
Female,05-10,2020,444444
TOTAL,05-10,2020,909968
Male,10-15,2020,476581
Female,10-15,2020,455422
TOTAL,10-15,2020,932003
Male,15-20,2020,522566
Female,15-20,2020,500802
TOTAL,15-20,2020,1023368
Male,20-25,2020,533584
Female,20-25,2020,520763
TOTAL,20-25,2020,1054347
Male,25-30,2020,559837
Female,25-30,2020,550099
TOTAL,25-30,2020,1109936
Male,30-35,2020,536672
Female,30-35,2020,531619
TOTAL,30-35,2020,1068291
Male,35-40,2020,508737
Female,35-40,2020,508597
TOTAL,35-40,2020,1017334
Male,40-45,2020,503152
Female,40-45,2020,505357
TOTAL,40-45,2020,1008509
Male,45-50,2020,583889
Female,45-50,2020,587706
TOTAL,45-50,2020,1171595
Male,50-55,2020,634830
Female,50-55,2020,630208
TOTAL,50-55,2020,1265038
Male,55-60,2020,618775
Female,55-60,2020,618219
TOTAL,55-60,2020,1236993
Male,60-65,2020,552099
Female,60-65,2020,559247
TOTAL,60-65,2020,1111346
Male,65-70,2020,490568
Female,65-70,2020,502512
TOTAL,65-70,2020,993080
Male,70-75,2020,457208
Female,70-75,2020,482748
TOTAL,70-75,2020,939956
Male,75-80,2020,296422
Female,75-80,2020,337309
TOTAL,75-80,2020,633731
Male,80-85,2020,185855
Female,80-85,2020,247825
TOTAL,80-85,2020,433681
Male,85-90,2020,95992
Female,85-90,2020,163602
TOTAL,85-90,2020,259594
Male,90-95,2020,32360
Female,90-95,2020,77359
TOTAL,90-95,2020,109719
Male,95+,2020,6368
Female,95+,2020,24281
TOTAL,95+,2020,30649
Male,TOTAL,2020,8531754
Female,TOTAL,2020,8697026
TOTAL,TOTAL,2020,17228780
Male,00-05,2021,473697
Female,00-05,2021,451652
TOTAL,00-05,2021,925349
Male,05-10,2021,464968
Female,05-10,2021,443862
TOTAL,05-10,2021,908830
Male,10-15,2021,474300
Female,10-15,2021,453287
TOTAL,10-15,2021,927587
Male,15-20,2021,513371
Female,15-20,2021,491344
TOTAL,15-20,2021,1004715
Male,20-25,2021,540251
Female,20-25,2021,527692
TOTAL,20-25,2021,1067943
Male,25-30,2021,555571
Female,25-30,2021,546406
TOTAL,25-30,2021,1101978
Male,30-35,2021,545765
Female,30-35,2021,539760
TOTAL,30-35,2021,1085526
Male,35-40,2021,508651
Female,35-40,2021,508574
TOTAL,35-40,2021,1017225
Male,40-45,2021,505217
Female,40-45,2021,507220
TOTAL,40-45,2021,1012437
Male,45-50,2021,555029
Female,45-50,2021,560249
TOTAL,45-50,2021,1115278
Male,50-55,2021,633241
Female,50-55,2021,631069
TOTAL,50-55,2021,1264310
Male,55-60,2021,623644
Female,55-60,2021,622462
TOTAL,55-60,2021,1246106
Male,60-65,2021,561065
Female,60-65,2021,567604
TOTAL,60-65,2021,1128669
Male,65-70,2021,493627
Female,65-70,2021,507313
TOTAL,65-70,2021,1000940
Male,70-75,2021,471563
Female,70-75,2021,498002
TOTAL,70-75,2021,969565
Male,75-80,2021,304064
Female,75-80,2021,343870
TOTAL,75-80,2021,647934
Male,80-85,2021,194273
Female,80-85,2021,255165
TOTAL,80-85,2021,449438
Male,85-90,2021,99073
Female,85-90,2021,164905
TOTAL,85-90,2021,263978
Male,90-95,2021,34398
Female,90-95,2021,79775
TOTAL,90-95,2021,114173
Male,95+,2021,6753
Female,95+,2021,25061
TOTAL,95+,2021,31814
Male,TOTAL,2021,8558519
Female,TOTAL,2021,8725275
TOTAL,TOTAL,2021,17283794
Male,00-05,2022,476727
Female,00-05,2022,454471
TOTAL,00-05,2022,931198
Male,05-10,2022,465627
Female,05-10,2022,444400
TOTAL,05-10,2022,910027
Male,10-15,2022,472267
Female,10-15,2022,451647
TOTAL,10-15,2022,923914
Male,15-20,2022,504750
Female,15-20,2022,482552
TOTAL,15-20,2022,987303
Male,20-25,2022,545034
Female,20-25,2022,533475
TOTAL,20-25,2022,1078508
Male,25-30,2022,551993
Female,25-30,2022,541663
TOTAL,25-30,2022,1093656
Male,30-35,2022,552087
Female,30-35,2022,545440
TOTAL,30-35,2022,1097527
Male,35-40,2022,512641
Female,35-40,2022,512239
TOTAL,35-40,2022,1024880
Male,40-45,2022,506038
Female,40-45,2022,509447
TOTAL,40-45,2022,1015485
Male,45-50,2022,531528
Female,45-50,2022,536851
TOTAL,45-50,2022,1068380
Male,50-55,2022,628754
Female,50-55,2022,628678
TOTAL,50-55,2022,1257431
Male,55-60,2022,623288
Female,55-60,2022,621608
TOTAL,55-60,2022,1244897
Male,60-65,2022,570041
Female,60-65,2022,577416
TOTAL,60-65,2022,1147458
Male,65-70,2022,499989
Female,65-70,2022,514424
TOTAL,65-70,2022,1014413
Male,70-75,2022,458096
Female,70-75,2022,483998
TOTAL,70-75,2022,942094
Male,75-80,2022,339093
Female,75-80,2022,380369
TOTAL,75-80,2022,719463
Male,80-85,2022,200516
Female,80-85,2022,259607
TOTAL,80-85,2022,460122
Male,85-90,2022,102733
Female,85-90,2022,167251
TOTAL,85-90,2022,269984
Male,90-95,2022,36218
Female,90-95,2022,81674
TOTAL,90-95,2022,117893
Male,95+,2022,7164
Female,95+,2022,25791
TOTAL,95+,2022,32955
Male,TOTAL,2022,8584586
Female,TOTAL,2022,8753001
TOTAL,TOTAL,2022,17337586
Male,00-05,2023,479687
Female,00-05,2023,457216
TOTAL,00-05,2023,936904
Male,05-10,2023,467258
Female,05-10,2023,445852
TOTAL,05-10,2023,913110
Male,10-15,2023,472034
Female,10-15,2023,450839
TOTAL,10-15,2023,922873
Male,15-20,2023,494731
Female,15-20,2023,473611
TOTAL,15-20,2023,968342
Male,20-25,2023,549153
Female,20-25,2023,536548
TOTAL,20-25,2023,1085701
Male,25-30,2023,549333
Female,25-30,2023,540033
TOTAL,25-30,2023,1089366
Male,30-35,2023,555906
Female,30-35,2023,549558
TOTAL,30-35,2023,1105464
Male,35-40,2023,520208
Female,35-40,2023,518792
TOTAL,35-40,2023,1039000
Male,40-45,2023,506304
Female,40-45,2023,509501
TOTAL,40-45,2023,1015805
Male,45-50,2023,513205
Female,45-50,2023,517750
TOTAL,45-50,2023,1030955
Male,50-55,2023,618859
Female,50-55,2023,622255
TOTAL,50-55,2023,1241114
Male,55-60,2023,621095
Female,55-60,2023,619284
