Soort,Regio,Jaar,Overlast
Drugsoverlast,Limburg-Zuid (PO),2011,10
Drugsoverlast,Flevoland (PO),2008,3.3
Drugsoverlast,Flevoland (PO),2009,5
Drugsoverlast,Flevoland (PO),2010,3.6
Drugsoverlast,Flevoland (PO),2011,3.7
Dronken mensen op straat,Nederland,2008,6.2
Dronken mensen op straat,Nederland,2009,6.8
Dronken mensen op straat,Nederland,2010,6.5
Dronken mensen op straat,Nederland,2011,7
Dronken mensen op straat,Groningen (PO),2008,8.7
Dronken mensen op straat,Groningen (PO),2009,9
Dronken mensen op straat,Groningen (PO),2010,5.8
Dronken mensen op straat,Groningen (PO),2011,10.3
Dronken mensen op straat,Friesland (PO),2008,5.7
Dronken mensen op straat,Friesland (PO),2009,4.8
Dronken mensen op straat,Friesland (PO),2010,4.5
Dronken mensen op straat,Friesland (PO),2011,5.4
Dronken mensen op straat,Drenthe (PO),2008,4.6
Dronken mensen op straat,Drenthe (PO),2009,5.5
Dronken mensen op straat,Drenthe (PO),2010,3.3
Dronken mensen op straat,Drenthe (PO),2011,4
Dronken mensen op straat,IJsselland (PO),2008,4.7
Dronken mensen op straat,IJsselland (PO),2009,5.8
Dronken mensen op straat,IJsselland (PO),2010,6.8
Dronken mensen op straat,IJsselland (PO),2011,4.8
Dronken mensen op straat,Twente (PO),2008,4.4
Dronken mensen op straat,Twente (PO),2009,6.5
Dronken mensen op straat,Twente (PO),2010,5.6
Dronken mensen op straat,Twente (PO),2011,6.1
Dronken mensen op straat,Noord- en Oost-Gelderland (PO),2008,3
Dronken mensen op straat,Noord- en Oost-Gelderland (PO),2009,4.5
Dronken mensen op straat,Noord- en Oost-Gelderland (PO),2010,4.3
Dronken mensen op straat,Noord- en Oost-Gelderland (PO),2011,6.1
Dronken mensen op straat,Gelderland-Midden (PO),2008,6.8
Dronken mensen op straat,Gelderland-Midden (PO),2009,6.1
Dronken mensen op straat,Gelderland-Midden (PO),2010,6.3
Dronken mensen op straat,Gelderland-Midden (PO),2011,6.7
Dronken mensen op straat,Gelderland-Zuid (PO),2008,4.4
Dronken mensen op straat,Gelderland-Zuid (PO),2009,6
Dronken mensen op straat,Gelderland-Zuid (PO),2010,5.1
Dronken mensen op straat,Gelderland-Zuid (PO),2011,5.2
Dronken mensen op straat,Utrecht (PO),2008,5.8
Dronken mensen op straat,Utrecht (PO),2009,6.2
Dronken mensen op straat,Utrecht (PO),2010,6.5
Dronken mensen op straat,Utrecht (PO),2011,6.3
Dronken mensen op straat,Noord-Holland-Noord (PO),2008,7.4
Dronken mensen op straat,Noord-Holland-Noord (PO),2009,7.2
Dronken mensen op straat,Noord-Holland-Noord (PO),2010,8.1
Dronken mensen op straat,Noord-Holland-Noord (PO),2011,6.9
Dronken mensen op straat,Zaanstreek-Waterland (PO),2008,6.8
Dronken mensen op straat,Zaanstreek-Waterland (PO),2009,6.7
Dronken mensen op straat,Zaanstreek-Waterland (PO),2010,6.6
Dronken mensen op straat,Zaanstreek-Waterland (PO),2011,6.1
Dronken mensen op straat,Kennemerland (PO),2008,5
Dronken mensen op straat,Kennemerland (PO),2009,4.4
Dronken mensen op straat,Kennemerland (PO),2010,6.2
Dronken mensen op straat,Kennemerland (PO),2011,7.1
Dronken mensen op straat,Amsterdam-Amstelland (PO),2008,11.9
Dronken mensen op straat,Amsterdam-Amstelland (PO),2009,11.2
Dronken mensen op straat,Amsterdam-Amstelland (PO),2010,11
Dronken mensen op straat,Amsterdam-Amstelland (PO),2011,11.2
Dronken mensen op straat,Gooi en Vechtstreek (PO),2008,5.9
Dronken mensen op straat,Gooi en Vechtstreek (PO),2009,6.3
Dronken mensen op straat,Gooi en Vechtstreek (PO),2010,5.4
Dronken mensen op straat,Gooi en Vechtstreek (PO),2011,6.1
Dronken mensen op straat,Haaglanden (PO),2008,8.2
Dronken mensen op straat,Haaglanden (PO),2009,9.1
Dronken mensen op straat,Haaglanden (PO),2010,9.4
Dronken mensen op straat,Haaglanden (PO),2011,10.6
Dronken mensen op straat,Hollands Midden (PO),2008,6.7
Dronken mensen op straat,Hollands Midden (PO),2009,7.5
Dronken mensen op straat,Hollands Midden (PO),2010,7
Dronken mensen op straat,Hollands Midden (PO),2011,7.2
Dronken mensen op straat,Rotterdam-Rijnmond (PO),2008,8
Dronken mensen op straat,Rotterdam-Rijnmond (PO),2009,8.1
Dronken mensen op straat,Rotterdam-Rijnmond (PO),2010,9.9
Dronken mensen op straat,Rotterdam-Rijnmond (PO),2011,9.2
Dronken mensen op straat,Zuid-Holland-Zuid (PO),2008,5.1
Dronken mensen op straat,Zuid-Holland-Zuid (PO),2009,7.3
Dronken mensen op straat,Zuid-Holland-Zuid (PO),2010,5.7
Dronken mensen op straat,Zuid-Holland-Zuid (PO),2011,6.8
Dronken mensen op straat,Zeeland (PO),2008,5.9
Dronken mensen op straat,Zeeland (PO),2009,5.5
Dronken mensen op straat,Zeeland (PO),2010,3.2
Dronken mensen op straat,Zeeland (PO),2011,2.8
