Soort,Regio,Jaar,Overlast
Diefstal uit auto's,Drenthe (PO),2011,3.2
Diefstal uit auto's,IJsselland (PO),2008,3
Diefstal uit auto's,IJsselland (PO),2009,3.2
Diefstal uit auto's,IJsselland (PO),2010,4.2
Diefstal uit auto's,IJsselland (PO),2011,3
Diefstal uit auto's,Twente (PO),2008,3.3
Diefstal uit auto's,Twente (PO),2009,2.8
Diefstal uit auto's,Twente (PO),2010,3.5
Diefstal uit auto's,Twente (PO),2011,2.6
Diefstal uit auto's,Noord- en Oost-Gelderland (PO),2008,5.1
Diefstal uit auto's,Noord- en Oost-Gelderland (PO),2009,2.7
Diefstal uit auto's,Noord- en Oost-Gelderland (PO),2010,3.6
Diefstal uit auto's,Noord- en Oost-Gelderland (PO),2011,3.2
Diefstal uit auto's,Gelderland-Midden (PO),2008,5.4
Diefstal uit auto's,Gelderland-Midden (PO),2009,5.2
Diefstal uit auto's,Gelderland-Midden (PO),2010,6.6
Diefstal uit auto's,Gelderland-Midden (PO),2011,6.1
Diefstal uit auto's,Gelderland-Zuid (PO),2008,5
Diefstal uit auto's,Gelderland-Zuid (PO),2009,6.6
Diefstal uit auto's,Gelderland-Zuid (PO),2010,6.8
Diefstal uit auto's,Gelderland-Zuid (PO),2011,6.5
Diefstal uit auto's,Utrecht (PO),2008,10.8
Diefstal uit auto's,Utrecht (PO),2009,10.4
Diefstal uit auto's,Utrecht (PO),2010,10.9
Diefstal uit auto's,Utrecht (PO),2011,8.5
Diefstal uit auto's,Noord-Holland-Noord (PO),2008,3.8
Diefstal uit auto's,Noord-Holland-Noord (PO),2009,4
Diefstal uit auto's,Noord-Holland-Noord (PO),2010,4.9
Diefstal uit auto's,Noord-Holland-Noord (PO),2011,3.7
Diefstal uit auto's,Zaanstreek-Waterland (PO),2008,2.8
Diefstal uit auto's,Zaanstreek-Waterland (PO),2009,4.9
Diefstal uit auto's,Zaanstreek-Waterland (PO),2010,4.3
Diefstal uit auto's,Zaanstreek-Waterland (PO),2011,5.4
Diefstal uit auto's,Kennemerland (PO),2008,3.9
Diefstal uit auto's,Kennemerland (PO),2009,3.5
Diefstal uit auto's,Kennemerland (PO),2010,6.4
Diefstal uit auto's,Kennemerland (PO),2011,4.5
Diefstal uit auto's,Amsterdam-Amstelland (PO),2008,15.4
Diefstal uit auto's,Amsterdam-Amstelland (PO),2009,14.3
Diefstal uit auto's,Amsterdam-Amstelland (PO),2010,13.7
Diefstal uit auto's,Amsterdam-Amstelland (PO),2011,13.2
Diefstal uit auto's,Gooi en Vechtstreek (PO),2008,5.5
Diefstal uit auto's,Gooi en Vechtstreek (PO),2009,5.8
Diefstal uit auto's,Gooi en Vechtstreek (PO),2010,6.8
Diefstal uit auto's,Gooi en Vechtstreek (PO),2011,6.9
Diefstal uit auto's,Haaglanden (PO),2008,9.9
Diefstal uit auto's,Haaglanden (PO),2009,10.4
Diefstal uit auto's,Haaglanden (PO),2010,11
Diefstal uit auto's,Haaglanden (PO),2011,10.8
Diefstal uit auto's,Hollands Midden (PO),2008,5.9
Diefstal uit auto's,Hollands Midden (PO),2009,6.4
Diefstal uit auto's,Hollands Midden (PO),2010,5.6
Diefstal uit auto's,Hollands Midden (PO),2011,5
Diefstal uit auto's,Rotterdam-Rijnmond (PO),2008,10.6
Diefstal uit auto's,Rotterdam-Rijnmond (PO),2009,10.6
Diefstal uit auto's,Rotterdam-Rijnmond (PO),2010,11.8
Diefstal uit auto's,Rotterdam-Rijnmond (PO),2011,10
Diefstal uit auto's,Zuid-Holland-Zuid (PO),2008,4.4
Diefstal uit auto's,Zuid-Holland-Zuid (PO),2009,5.1
Diefstal uit auto's,Zuid-Holland-Zuid (PO),2010,5.5
Diefstal uit auto's,Zuid-Holland-Zuid (PO),2011,4.6
Diefstal uit auto's,Zeeland (PO),2008,2.3
Diefstal uit auto's,Zeeland (PO),2009,1.4
Diefstal uit auto's,Zeeland (PO),2010,1.8
Diefstal uit auto's,Zeeland (PO),2011,1.2
Diefstal uit auto's,Midden- en West-Brabant (PO),2008,5.2
Diefstal uit auto's,Midden- en West-Brabant (PO),2009,5
Diefstal uit auto's,Midden- en West-Brabant (PO),2010,7.1
Diefstal uit auto's,Midden- en West-Brabant (PO),2011,5.6
Diefstal uit auto's,Brabant-Noord (PO),2008,6.4
Diefstal uit auto's,Brabant-Noord (PO),2009,6.3
Diefstal uit auto's,Brabant-Noord (PO),2010,7.3
Diefstal uit auto's,Brabant-Noord (PO),2011,5.4
Diefstal uit auto's,Brabant-Zuidoost (PO),2008,5.9
Diefstal uit auto's,Brabant-Zuidoost (PO),2009,6.9
Diefstal uit auto's,Brabant-Zuidoost (PO),2010,6.1
Diefstal uit auto's,Brabant-Zuidoost (PO),2011,5.4
Diefstal uit auto's,Limburg-Noord (PO),2008,6.4
Diefstal uit auto's,Limburg-Noord (PO),2009,3.7
Diefstal uit auto's,Limburg-Noord (PO),2010,3
Diefstal uit auto's,Limburg-Noord (PO),2011,3.3
Diefstal uit auto's,Limburg-Zuid (PO),2008,6.4
Diefstal uit auto's,Limburg-Zuid (PO),2009,7.1
Diefstal uit auto's,Limburg-Zuid (PO),2010,7.1
Diefstal uit auto's,Limburg-Zuid (PO),2011,6.3
Diefstal uit auto's,Flevoland (PO),2008,4.4
Diefstal uit auto's,Flevoland (PO),2009,3.4
Diefstal uit auto's,Flevoland (PO),2010,3.8
Diefstal uit auto's,Flevoland (PO),2011,3.7
Beschadiging aan/ diefstal uit auto's,Nederland,2008,10
Beschadiging aan/ diefstal uit auto's,Nederland,2009,10.2
Beschadiging aan/ diefstal uit auto's,Nederland,2010,9.9
Beschadiging aan/ diefstal uit auto's,Nederland,2011,9.2
Beschadiging aan/ diefstal uit auto's,Groningen (PO),2008,7
Beschadiging aan/ diefstal uit auto's,Groningen (PO),2009,8.1
Beschadiging aan/ diefstal uit auto's,Groningen (PO),2010,6.8
Beschadiging aan/ diefstal uit auto's,Groningen (PO),2011,6.4
Beschadiging aan/ diefstal uit auto's,Friesland (PO),2008,3.7
Beschadiging aan/ diefstal uit auto's,Friesland (PO),2009,5
Beschadiging aan/ diefstal uit auto's,Friesland (PO),2010,4.8
Beschadiging aan/ diefstal uit auto's,Friesland (PO),2011,5.1
Beschadiging aan/ diefstal uit auto's,Drenthe (PO),2008,6.9
Beschadiging aan/ diefstal uit auto's,Drenthe (PO),2009,8.2
Beschadiging aan/ diefstal uit auto's,Drenthe (PO),2010,4.7
Beschadiging aan/ diefstal uit auto's,Drenthe (PO),2011,4.7
Beschadiging aan/ diefstal uit auto's,IJsselland (PO),2008,6.1
Beschadiging aan/ diefstal uit auto's,IJsselland (PO),2009,6.7
Beschadiging aan/ diefstal uit auto's,IJsselland (PO),2010,6.4
Beschadiging aan/ diefstal uit auto's,IJsselland (PO),2011,5.6
Beschadiging aan/ diefstal uit auto's,Twente (PO),2008,8.8
Beschadiging aan/ diefstal uit auto's,Twente (PO),2009,7.3
Beschadiging aan/ diefstal uit auto's,Twente (PO),2010,6.6
Beschadiging aan/ diefstal uit auto's,Twente (PO),2011,6.7
Beschadiging aan/ diefstal uit auto's,Noord- en Oost-Gelderland (PO),2008,5.5
Beschadiging aan/ diefstal uit auto's,Noord- en Oost-Gelderland (PO),2009,5.7
Beschadiging aan/ diefstal uit auto's,Noord- en Oost-Gelderland (PO),2010,6.8
Beschadiging aan/ diefstal uit auto's,Noord- en Oost-Gelderland (PO),2011,6.1
Beschadiging aan/ diefstal uit auto's,Gelderland-Midden (PO),2008,8.9
Beschadiging aan/ diefstal uit auto's,Gelderland-Midden (PO),2009,8.4
Beschadiging aan/ diefstal uit auto's,Gelderland-Midden (PO),2010,8.2
Beschadiging aan/ diefstal uit auto's,Gelderland-Midden (PO),2011,7.6
Beschadiging aan/ diefstal uit auto's,Gelderland-Zuid (PO),2008,7.3
Beschadiging aan/ diefstal uit auto's,Gelderland-Zuid (PO),2009,9.5
Beschadiging aan/ diefstal uit auto's,Gelderland-Zuid (PO),2010,8.9
Beschadiging aan/ diefstal uit auto's,Gelderland-Zuid (PO),2011,8.5
Beschadiging aan/ diefstal uit auto's,Utrecht (PO),2008,12.4
Beschadiging aan/ diefstal uit auto's,Utrecht (PO),2009,11.6
Beschadiging aan/ diefstal uit auto's,Utrecht (PO),2010,11.5
Beschadiging aan/ diefstal uit auto's,Utrecht (PO),2011,9.8
Beschadiging aan/ diefstal uit auto's,Noord-Holland-Noord (PO),2008,6.8
Beschadiging aan/ diefstal uit auto's,Noord-Holland-Noord (PO),2009,8.8
Beschadiging aan/ diefstal uit auto's,Noord-Holland-Noord (PO),2010,8.1
Beschadiging aan/ diefstal uit auto's,Noord-Holland-Noord (PO),2011,7.7
Beschadiging aan/ diefstal uit auto's,Zaanstreek-Waterland (PO),2008,9.1
Beschadiging aan/ diefstal uit auto's,Zaanstreek-Waterland (PO),2009,11.7
Beschadiging aan/ diefstal uit auto's,Zaanstreek-Waterland (PO),2010,8.7
Beschadiging aan/ diefstal uit auto's,Zaanstreek-Waterland (PO),2011,9.1
Beschadiging aan/ diefstal uit auto's,Kennemerland (PO),2008,8.3
Beschadiging aan/ diefstal uit auto's,Kennemerland (PO),2009,8.6
Beschadiging aan/ diefstal uit auto's,Kennemerland (PO),2010,13.1
Beschadiging aan/ diefstal uit auto's,Kennemerland (PO),2011,10
Beschadiging aan/ diefstal uit auto's,Amsterdam-Amstelland (PO),2008,16.3
Beschadiging aan/ diefstal uit auto's,Amsterdam-Amstelland (PO),2009,14.8
Beschadiging aan/ diefstal uit auto's,Amsterdam-Amstelland (PO),2010,13.7
Beschadiging aan/ diefstal uit auto's,Amsterdam-Amstelland (PO),2011,14.8
Beschadiging aan/ diefstal uit auto's,Gooi en Vechtstreek (PO),2008,10.9
Beschadiging aan/ diefstal uit auto's,Gooi en Vechtstreek (PO),2009,10.8
Beschadiging aan/ diefstal uit auto's,Gooi en Vechtstreek (PO),2010,11.9
Beschadiging aan/ diefstal uit auto's,Gooi en Vechtstreek (PO),2011,10.7
Beschadiging aan/ diefstal uit auto's,Haaglanden (PO),2008,14.1
Beschadiging aan/ diefstal uit auto's,Haaglanden (PO),2009,14
Beschadiging aan/ diefstal uit auto's,Haaglanden (PO),2010,14.1
Beschadiging aan/ diefstal uit auto's,Haaglanden (PO),2011,14.4
Beschadiging aan/ diefstal uit auto's,Hollands Midden (PO),2008,10
Beschadiging aan/ diefstal uit auto's,Hollands Midden (PO),2009,10.4
Beschadiging aan/ diefstal uit auto's,Hollands Midden (PO),2010,7.5
Beschadiging aan/ diefstal uit auto's,Hollands Midden (PO),2011,8.6
Beschadiging aan/ diefstal uit auto's,Rotterdam-Rijnmond (PO),2008,15.4
Beschadiging aan/ diefstal uit auto's,Rotterdam-Rijnmond (PO),2009,14.5
Beschadiging aan/ diefstal uit auto's,Rotterdam-Rijnmond (PO),2010,15.7
Beschadiging aan/ diefstal uit auto's,Rotterdam-Rijnmond (PO),2011,13.7
Beschadiging aan/ diefstal uit auto's,Zuid-Holland-Zuid (PO),2008,8.8
Beschadiging aan/ diefstal uit auto's,Zuid-Holland-Zuid (PO),2009,11.1
Beschadiging aan/ diefstal uit auto's,Zuid-Holland-Zuid (PO),2010,8.5
Beschadiging aan/ diefstal uit auto's,Zuid-Holland-Zuid (PO),2011,8.2
Beschadiging aan/ diefstal uit auto's,Zeeland (PO),2008,6.8
Beschadiging aan/ diefstal uit auto's,Zeeland (PO),2009,6.2
Beschadiging aan/ diefstal uit auto's,Zeeland (PO),2010,5.6
Beschadiging aan/ diefstal uit auto's,Zeeland (PO),2011,4.7
Beschadiging aan/ diefstal uit auto's,Midden- en West-Brabant (PO),2008,9.9
Beschadiging aan/ diefstal uit auto's,Midden- en West-Brabant (PO),2009,10.9
Beschadiging aan/ diefstal uit auto's,Midden- en West-Brabant (PO),2010,11.6
Beschadiging aan/ diefstal uit auto's,Midden- en West-Brabant (PO),2011,10.7
Beschadiging aan/ diefstal uit auto's,Brabant-Noord (PO),2008,10.2
Beschadiging aan/ diefstal uit auto's,Brabant-Noord (PO),2009,9.2
Beschadiging aan/ diefstal uit auto's,Brabant-Noord (PO),2010,9.6
Beschadiging aan/ diefstal uit auto's,Brabant-Noord (PO),2011,7.7
Beschadiging aan/ diefstal uit auto's,Brabant-Zuidoost (PO),2008,9.9
Beschadiging aan/ diefstal uit auto's,Brabant-Zuidoost (PO),2009,10.7
Beschadiging aan/ diefstal uit auto's,Brabant-Zuidoost (PO),2010,10.4
Beschadiging aan/ diefstal uit auto's,Brabant-Zuidoost (PO),2011,9.3
Beschadiging aan/ diefstal uit auto's,Limburg-Noord (PO),2008,10.4
Beschadiging aan/ diefstal uit auto's,Limburg-Noord (PO),2009,7.3
Beschadiging aan/ diefstal uit auto's,Limburg-Noord (PO),2010,8
Beschadiging aan/ diefstal uit auto's,Limburg-Noord (PO),2011,6.3
Beschadiging aan/ diefstal uit auto's,Limburg-Zuid (PO),2008,13.3
Beschadiging aan/ diefstal uit auto's,Limburg-Zuid (PO),2009,13.7
Beschadiging aan/ diefstal uit auto's,Limburg-Zuid (PO),2010,12.9
Beschadiging aan/ diefstal uit auto's,Limburg-Zuid (PO),2011,11.9
Beschadiging aan/ diefstal uit auto's,Flevoland (PO),2008,7.9
Beschadiging aan/ diefstal uit auto's,Flevoland (PO),2009,9
Beschadiging aan/ diefstal uit auto's,Flevoland (PO),2010,7.8
Beschadiging aan/ diefstal uit auto's,Flevoland (PO),2011,7
Inbraak in woningen,Nederland,2008,6.7
Inbraak in woningen,Nederland,2009,6.8
Inbraak in woningen,Nederland,2010,8.3
Inbraak in woningen,Nederland,2011,9
Inbraak in woningen,Groningen (PO),2008,4
Inbraak in woningen,Groningen (PO),2009,4.8
Inbraak in woningen,Groningen (PO),2010,5.2
Inbraak in woningen,Groningen (PO),2011,5.4
Inbraak in woningen,Friesland (PO),2008,3.2
Inbraak in woningen,Friesland (PO),2009,2
Inbraak in woningen,Friesland (PO),2010,3.1
Inbraak in woningen,Friesland (PO),2011,3.4
Inbraak in woningen,Drenthe (PO),2008,3.1
Inbraak in woningen,Drenthe (PO),2009,3.8
Inbraak in woningen,Drenthe (PO),2010,3.4
Inbraak in woningen,Drenthe (PO),2011,5.1
Inbraak in woningen,IJsselland (PO),2008,2.6
Inbraak in woningen,IJsselland (PO),2009,3.6
Inbraak in woningen,IJsselland (PO),2010,3.5
Inbraak in woningen,IJsselland (PO),2011,4.9
Inbraak in woningen,Twente (PO),2008,2.9
Inbraak in woningen,Twente (PO),2009,3.5
Inbraak in woningen,Twente (PO),2010,5
Inbraak in woningen,Twente (PO),2011,4.2
Inbraak in woningen,Noord- en Oost-Gelderland (PO),2008,2.8
Inbraak in woningen,Noord- en Oost-Gelderland (PO),2009,2.5
Inbraak in woningen,Noord- en Oost-Gelderland (PO),2010,6.1
Inbraak in woningen,Noord- en Oost-Gelderland (PO),2011,6.7
Inbraak in woningen,Gelderland-Midden (PO),2008,4.9
Inbraak in woningen,Gelderland-Midden (PO),2009,6.3
Inbraak in woningen,Gelderland-Midden (PO),2010,8.6
Inbraak in woningen,Gelderland-Midden (PO),2011,9.3
Inbraak in woningen,Gelderland-Zuid (PO),2008,4.6
Inbraak in woningen,Gelderland-Zuid (PO),2009,6.5
Inbraak in woningen,Gelderland-Zuid (PO),2010,7.7
Inbraak in woningen,Gelderland-Zuid (PO),2011,9.7
Inbraak in woningen,Utrecht (PO),2008,11.1
Inbraak in woningen,Utrecht (PO),2009,9.4
Inbraak in woningen,Utrecht (PO),2010,11.5
Inbraak in woningen,Utrecht (PO),2011,10.4
Inbraak in woningen,Noord-Holland-Noord (PO),2008,5.1
Inbraak in woningen,Noord-Holland-Noord (PO),2009,5.8
Inbraak in woningen,Noord-Holland-Noord (PO),2010,8.8
Inbraak in woningen,Noord-Holland-Noord (PO),2011,7.8
Inbraak in woningen,Zaanstreek-Waterland (PO),2008,4.4
Inbraak in woningen,Zaanstreek-Waterland (PO),2009,6.4
Inbraak in woningen,Zaanstreek-Waterland (PO),2010,6.5
Inbraak in woningen,Zaanstreek-Waterland (PO),2011,6.9
Inbraak in woningen,Kennemerland (PO),2008,5.1
Inbraak in woningen,Kennemerland (PO),2009,5.1
Inbraak in woningen,Kennemerland (PO),2010,8
Inbraak in woningen,Kennemerland (PO),2011,8.7
Inbraak in woningen,Amsterdam-Amstelland (PO),2008,9.5
Inbraak in woningen,Amsterdam-Amstelland (PO),2009,9.5
Inbraak in woningen,Amsterdam-Amstelland (PO),2010,11.8
Inbraak in woningen,Amsterdam-Amstelland (PO),2011,12.9
Inbraak in woningen,Gooi en Vechtstreek (PO),2008,9.7
Inbraak in woningen,Gooi en Vechtstreek (PO),2009,10.1
Inbraak in woningen,Gooi en Vechtstreek (PO),2010,11
Inbraak in woningen,Gooi en Vechtstreek (PO),2011,14.7
Inbraak in woningen,Haaglanden (PO),2008,10.8
Inbraak in woningen,Haaglanden (PO),2009,10.8
Inbraak in woningen,Haaglanden (PO),2010,12.5
Inbraak in woningen,Haaglanden (PO),2011,15.2
Inbraak in woningen,Hollands Midden (PO),2008,7
Inbraak in woningen,Hollands Midden (PO),2009,8
Inbraak in woningen,Hollands Midden (PO),2010,8
Inbraak in woningen,Hollands Midden (PO),2011,8.6
Inbraak in woningen,Rotterdam-Rijnmond (PO),2008,10.1
Inbraak in woningen,Rotterdam-Rijnmond (PO),2009,8.5
Inbraak in woningen,Rotterdam-Rijnmond (PO),2010,9.3
Inbraak in woningen,Rotterdam-Rijnmond (PO),2011,11
Inbraak in woningen,Zuid-Holland-Zuid (PO),2008,3.3
Inbraak in woningen,Zuid-Holland-Zuid (PO),2009,5.5
Inbraak in woningen,Zuid-Holland-Zuid (PO),2010,6.9
Inbraak in woningen,Zuid-Holland-Zuid (PO),2011,6.2
Inbraak in woningen,Zeeland (PO),2008,3.7
Inbraak in woningen,Zeeland (PO),2009,4.2
Inbraak in woningen,Zeeland (PO),2010,5.4
Inbraak in woningen,Zeeland (PO),2011,4.6
Inbraak in woningen,Midden- en West-Brabant (PO),2008,7.8
Inbraak in woningen,Midden- en West-Brabant (PO),2009,7.7
Inbraak in woningen,Midden- en West-Brabant (PO),2010,11.6
Inbraak in woningen,Midden- en West-Brabant (PO),2011,10
Inbraak in woningen,Brabant-Noord (PO),2008,7.4
Inbraak in woningen,Brabant-Noord (PO),2009,7.3
Inbraak in woningen,Brabant-Noord (PO),2010,9.9
Inbraak in woningen,Brabant-Noord (PO),2011,8.7
Inbraak in woningen,Brabant-Zuidoost (PO),2008,6.7
Inbraak in woningen,Brabant-Zuidoost (PO),2009,8.2
Inbraak in woningen,Brabant-Zuidoost (PO),2010,9.4
Inbraak in woningen,Brabant-Zuidoost (PO),2011,10
Inbraak in woningen,Limburg-Noord (PO),2008,8.6
Inbraak in woningen,Limburg-Noord (PO),2009,5.9
Inbraak in woningen,Limburg-Noord (PO),2010,6
Inbraak in woningen,Limburg-Noord (PO),2011,7.8
Inbraak in woningen,Limburg-Zuid (PO),2008,8.8
Inbraak in woningen,Limburg-Zuid (PO),2009,10.1
Inbraak in woningen,Limburg-Zuid (PO),2010,8.4
Inbraak in woningen,Limburg-Zuid (PO),2011,11.7
Inbraak in woningen,Flevoland (PO),2008,6
Inbraak in woningen,Flevoland (PO),2009,6
Inbraak in woningen,Flevoland (PO),2010,6.5
Inbraak in woningen,Flevoland (PO),2011,10
