"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"25 Metaalproductenindustrie";"2007";"18593";"12724";"5869";"5624";"9.1";"8.9";"9.4";"108.2";"110.1";"104.4"
"25 Metaalproductenindustrie";"2008";"19876";"13691";"6185";"5637";"2.3";"3.2";"0.2";"113.1";"114.8";"109.7"
"25 Metaalproductenindustrie";"2009";"16854";"11346";"5508";"4860";"-13.6";"-13.6";"-13.8";"111.1";"110.1";"113.3"
"25 Metaalproductenindustrie";"2010**";"17861";"12417";"5444";"5309";"6.2";"4.8";"9.2";"110.8";"115.0";"102.5"
"25 Metaalproductenindustrie";"2011*";"19353";"13583";"5770";"5668";"5.9";"5.5";"6.8";"113.4";"119.3";"101.8"
"26 Elektrotechnische industrie";"1988";"7384";"4821";"2563";"2118";".";".";".";"91.1";"83.3";"121.0"
"26 Elektrotechnische industrie";"1989";"7951";"5400";"2551";"2113";"7.0";"10.8";"-0.2";"91.7";"84.2";"120.7"
"26 Elektrotechnische industrie";"1990";"8149";"5374";"2775";"2274";"2.8";"0.5";"7.6";"91.5";"83.4";"122.0"
"26 Elektrotechnische industrie";"1991";"8515";"5716";"2799";"2293";"4.2";"6.0";"0.8";"91.7";"83.7";"122.1"
"26 Elektrotechnische industrie";"1992";"8588";"5873";"2715";"2264";"1.4";"2.7";"-1.3";"91.3";"83.8";"119.9"
"26 Elektrotechnische industrie";"1993";"8452";"5835";"2617";"2235";"-0.4";"0.1";"-1.3";"90.2";"83.2";"117.1"
"26 Elektrotechnische industrie";"1994";"8610";"6037";"2573";"2268";"2.2";"2.6";"1.5";"89.8";"83.9";"113.4"
"26 Elektrotechnische industrie";"1995";"9247";"6700";"2547";"2291";"6.9";"9.5";"1.0";"90.2";"85.1";"111.2"
"26 Elektrotechnische industrie";"1996";"9612";"7293";"2319";"2118";"3.6";"7.9";"-7.6";"90.5";"85.8";"109.5"
"26 Elektrotechnische industrie";"1997";"10941";"8595";"2346";"2097";"11.8";"15.9";"-1.0";"92.1";"87.2";"111.9"
"26 Elektrotechnische industrie";"1998";"11202";"8752";"2450";"2201";"1.8";"1.0";"5.0";"92.6";"88.0";"111.3"
"26 Elektrotechnische industrie";"1999";"12082";"9368";"2714";"2523";"8.0";"6.1";"14.6";"92.5";"88.7";"107.6"
"26 Elektrotechnische industrie";"2000";"14038";"10394";"3644";"3576";"14.7";"6.9";"41.7";"93.7";"92.1";"101.9"
"26 Elektrotechnische industrie";"2001";"13050";"10379";"2671";"2559";"-9.8";"-3.2";"-28.4";"96.5";"95.0";"104.4"
"26 Elektrotechnische industrie";"2002";"11380";"9447";"1933";"1917";"-13.5";"-10.5";"-25.1";"97.2";"96.6";"100.9"
"26 Elektrotechnische industrie";"2003";"11201";"9472";"1729";"1677";"-2.4";"-0.3";"-12.5";"98.1";"97.2";"103.1"
"26 Elektrotechnische industrie";"2004";"11470";"9760";"1710";"1747";"2.0";"1.6";"4.2";"98.5";"98.6";"97.9"
"26 Elektrotechnische industrie";"2005";"11916";"9998";"1918";"1918";"2.3";"1.0";"9.8";"100.0";"100.0";"100.0"
"26 Elektrotechnische industrie";"2006";"12059";"10371";"1688";"1896";"1.5";"2.0";"-1.1";"99.7";"101.7";"89.0"
"26 Elektrotechnische industrie";"2007";"11736";"9966";"1770";"2011";"-3.8";"-5.4";"6.0";"100.8";"103.3";"88.0"
"26 Elektrotechnische industrie";"2008";"12070";"10341";"1729";"2022";"1.6";"1.7";"0.6";"102.1";"105.3";"85.5"
"26 Elektrotechnische industrie";"2009";"11059";"9473";"1586";"1751";"-8.9";"-8.1";"-13.4";"102.7";"105.0";"90.6"
"26 Elektrotechnische industrie";"2010**";"12230";"10288";"1942";"2161";"9.9";"7.6";"23.5";"103.4";"106.0";"89.9"
"26 Elektrotechnische industrie";"2011*";"12897";"10796";"2101";"2313";"4.1";"3.6";"7.0";"104.7";"107.4";"90.9"
"27 Elektrische apparatenindustrie";"1988";"2154";"1383";"771";"729";".";".";".";"89.3";"82.7";"105.8"
"27 Elektrische apparatenindustrie";"1989";"2385";"1532";"853";"811";"9.2";"8.1";"11.3";"90.5";"84.8";"105.2"
"27 Elektrische apparatenindustrie";"1990";"2610";"1654";"956";"869";"8.4";"9.1";"7.2";"91.4";"83.9";"110.0"
"27 Elektrische apparatenindustrie";"1991";"2747";"1741";"1006";"881";"4.1";"5.6";"1.4";"92.4";"83.6";"114.2"
"27 Elektrische apparatenindustrie";"1992";"2817";"1768";"1049";"917";"2.9";"2.2";"4.1";"92.1";"83.1";"114.5"
"27 Elektrische apparatenindustrie";"1993";"2771";"1729";"1042";"897";"-1.8";"-1.7";"-2.1";"92.3";"82.7";"116.1"
"27 Elektrische apparatenindustrie";"1994";"2971";"1877";"1094";"951";"6.6";"7.1";"6.0";"92.8";"83.8";"115.1"
"27 Elektrische apparatenindustrie";"1995";"3196";"2088";"1108";"1009";"7.7";"8.6";"6.1";"92.7";"85.9";"109.8"
"27 Elektrische apparatenindustrie";"1996";"3442";"2270";"1172";"1089";"7.6";"7.5";"7.9";"92.8";"86.9";"107.6"
"27 Elektrische apparatenindustrie";"1997";"3629";"2498";"1131";"1033";"4.0";"8.7";"-5.1";"94.1";"88.0";"109.5"
"27 Elektrische apparatenindustrie";"1998";"3660";"2503";"1157";"1035";"-0.2";"-0.3";"0.2";"95.0";"88.4";"111.8"
"27 Elektrische apparatenindustrie";"1999";"3778";"2601";"1177";"1046";"2.7";"3.5";"1.0";"95.5";"88.8";"112.5"
"27 Elektrische apparatenindustrie";"2000";"3929";"2717";"1212";"1113";"2.0";"0.1";"6.4";"97.3";"92.7";"108.9"
"27 Elektrische apparatenindustrie";"2001";"4017";"2785";"1232";"1128";"0.8";"0.6";"1.4";"98.7";"94.4";"109.2"
"27 Elektrische apparatenindustrie";"2002";"3474";"2411";"1063";"1002";"-13.1";"-14.0";"-11.2";"98.2";"95.1";"106.1"
"27 Elektrische apparatenindustrie";"2003";"3397";"2323";"1074";"1007";"-1.8";"-2.8";"0.6";"97.8";"94.2";"106.6"
"27 Elektrische apparatenindustrie";"2004";"3504";"2442";"1062";"1023";"1.9";"2.0";"1.6";"99.0";"97.1";"103.8"
"27 Elektrische apparatenindustrie";"2005";"3505";"2499";"1006";"1006";"-1.0";"-0.7";"-1.7";"100.0";"100.0";"100.0"
"27 Elektrische apparatenindustrie";"2006";"4071";"2967";"1104";"1109";"10.9";"11.1";"10.2";"104.8";"106.8";"99.5"
"27 Elektrische apparatenindustrie";"2007";"4650";"3397";"1253";"1256";"12.2";"11.8";"13.2";"106.7";"109.5";"99.8"
"27 Elektrische apparatenindustrie";"2008";"4796";"3483";"1313";"1281";"1.5";"1.3";"2.0";"108.5";"110.8";"102.5"
"27 Elektrische apparatenindustrie";"2009";"3940";"2892";"1048";"1042";"-17.0";"-16.3";"-18.7";"107.3";"110.0";"100.6"
"27 Elektrische apparatenindustrie";"2010**";"3973";"3075";"898";"1033";"-0.4";"-0.2";"-0.9";"108.6";"117.1";"86.9"
"27 Elektrische apparatenindustrie";"2011*";"4197";"3328";"869";"1072";"3.4";"3.3";"3.8";"110.9";"122.7";"81.1"
"28 Machine-industrie";"1988";"6774";"4637";"2137";"2464";".";".";".";"86.8";"86.4";"86.7"
"28 Machine-industrie";"1989";"7452";"5165";"2287";"2593";"8.2";"9.5";"5.2";"88.3";"87.9";"88.2"
"28 Machine-industrie";"1990";"8106";"5685";"2421";"2684";"7.6";"9.4";"3.5";"89.2";"88.4";"90.2"
"28 Machine-industrie";"1991";"8267";"5941";"2326";"2740";"3.1";"3.6";"2.1";"88.2";"89.2";"84.9"
"28 Machine-industrie";"1992";"8335";"6013";"2322";"2710";"0.2";"0.8";"-1.1";"88.7";"89.6";"85.7"
"28 Machine-industrie";"1993";"8217";"5807";"2410";"2794";"-1.4";"-3.1";"3.1";"88.7";"89.2";"86.3"
"28 Machine-industrie";"1994";"8817";"6195";"2622";"3043";"6.8";"5.9";"8.9";"89.1";"89.9";"86.2"
"28 Machine-industrie";"1995";"9447";"6837";"2610";"3097";"7.2";"9.5";"1.8";"89.0";"90.6";"84.3"
"28 Machine-industrie";"1996";"10388";"7558";"2830";"3339";"9.4";"10.0";"7.8";"89.5";"91.1";"84.8"
"28 Machine-industrie";"1997";"11478";"8314";"3164";"3681";"9.2";"8.8";"10.2";"90.6";"92.0";"86.0"
"28 Machine-industrie";"1998";"11987";"8847";"3140";"3534";"3.0";"5.7";"-4.0";"91.8";"92.7";"88.8"
"28 Machine-industrie";"1999";"12300";"9115";"3185";"3480";"1.6";"2.7";"-1.5";"92.7";"93.0";"91.5"
"28 Machine-industrie";"2000";"14142";"10130";"4012";"4493";"13.8";"8.4";"29.1";"93.7";"95.3";"89.3"
"28 Machine-industrie";"2001";"14277";"10457";"3820";"4188";"-1.0";"1.4";"-6.8";"95.5";"97.1";"91.2"
"28 Machine-industrie";"2002";"14132";"10226";"3906";"4051";"-1.9";"-1.4";"-3.3";"96.3";"96.2";"96.4"
"28 Machine-industrie";"2003";"13949";"9641";"4308";"4286";"-2.5";"-5.7";"5.8";"97.5";"96.2";"100.5"
"28 Machine-industrie";"2004";"15196";"10484";"4712";"4841";"8.4";"6.4";"13.0";"98.0";"98.3";"97.3"
"28 Machine-industrie";"2005";"15704";"10833";"4871";"4871";"1.3";"1.6";"0.6";"100.0";"100.0";"100.0"
"28 Machine-industrie";"2006";"17472";"12016";"5456";"5287";"9.4";"9.8";"8.5";"101.7";"101.1";"103.2"
"28 Machine-industrie";"2007";"19103";"13113";"5990";"5719";"7.4";"7.0";"8.2";"103.6";"103.1";"104.7"
"28 Machine-industrie";"2008";"18904";"13031";"5873";"5479";"-3.4";"-3.1";"-4.2";"106.2";"105.7";"107.2"
"28 Machine-industrie";"2009";"16190";"11086";"5104";"4494";"-15.7";"-14.6";"-18.0";"107.8";"105.3";"113.6"
"28 Machine-industrie";"2010**";"19126";"12757";"6369";"5625";"16.9";"13.1";"25.2";"108.9";"107.2";"113.2"
"28 Machine-industrie";"2011*";"21624";"14336";"7288";"6461";"12.1";"10.7";"14.9";"109.9";"108.8";"112.8"
"29 Auto- en aanhangwagenindustrie";"1988";"3850";"3101";"749";"788";".";".";".";"81.6";"77.8";"95.0"
"29 Auto- en aanhangwagenindustrie";"1989";"4398";"3560";"838";"839";"10.8";"11.8";"6.4";"84.1";"79.8";"99.9"
"29 Auto- en aanhangwagenindustrie";"1990";"4512";"3583";"929";"865";"0.0";"-0.7";"3.1";"86.3";"80.9";"107.4"
"29 Auto- en aanhangwagenindustrie";"1991";"4344";"3474";"870";"835";"-4.8";"-5.2";"-3.4";"87.3";"82.8";"104.2"
"29 Auto- en aanhangwagenindustrie";"1992";"4383";"3462";"921";"868";"-0.6";"-1.8";"3.9";"88.7";"84.0";"106.2"
"29 Auto- en aanhangwagenindustrie";"1993";"3416";"2670";"746";"711";"-21.2";"-22.0";"-18.0";"87.7";"83.1";"104.9"
"29 Auto- en aanhangwagenindustrie";"1994";"4257";"3361";"896";"867";"23.7";"24.2";"21.8";"88.3";"84.2";"103.4"
"29 Auto- en aanhangwagenindustrie";"1995";"5097";"4011";"1086";"1105";"19.5";"17.3";"27.5";"88.5";"85.6";"98.3"
"29 Auto- en aanhangwagenindustrie";"1996";"5866";"4715";"1151";"1142";"12.3";"14.7";"3.4";"90.7";"87.7";"100.8"
"29 Auto- en aanhangwagenindustrie";"1997";"6713";"5305";"1408";"1312";"12.2";"11.6";"14.9";"92.5";"88.4";"107.3"
"29 Auto- en aanhangwagenindustrie";"1998";"8039";"6245";"1794";"1647";"18.5";"16.6";"25.6";"93.4";"89.3";"108.9"
"29 Auto- en aanhangwagenindustrie";"1999";"8649";"6627";"2022";"1835";"6.5";"5.1";"11.4";"94.4";"90.1";"110.2"
"29 Auto- en aanhangwagenindustrie";"2000";"8787";"6806";"1981";"1858";"0.2";"-0.1";"1.3";"95.7";"92.7";"106.6"
"29 Auto- en aanhangwagenindustrie";"2001";"8609";"6698";"1911";"1959";"-1.5";"-3.5";"5.4";"95.2";"94.5";"97.6"
"29 Auto- en aanhangwagenindustrie";"2002";"8421";"6577";"1844";"1919";"-3.0";"-3.2";"-2.0";"96.0";"95.9";"96.1"
"29 Auto- en aanhangwagenindustrie";"2003";"8441";"6570";"1871";"1904";"-0.1";"0.1";"-0.8";"96.3";"95.7";"98.3"
"29 Auto- en aanhangwagenindustrie";"2004";"8864";"6876";"1988";"1928";"1.5";"1.5";"1.3";"99.6";"98.6";"103.1"
"29 Auto- en aanhangwagenindustrie";"2005";"8644";"6733";"1911";"1911";"-2.9";"-3.4";"-0.9";"100.0";"100.0";"100.0"
"29 Auto- en aanhangwagenindustrie";"2006";"9233";"7262";"1971";"1939";"5.6";"6.8";"1.5";"101.1";"101.0";"101.7"
"29 Auto- en aanhangwagenindustrie";"2007";"10669";"8556";"2113";"2114";"13.1";"14.1";"9.0";"103.4";"104.2";"99.9"
"29 Auto- en aanhangwagenindustrie";"2008";"11098";"8795";"2303";"2166";"0.7";"0.2";"2.5";"106.8";"106.9";"106.3"
"29 Auto- en aanhangwagenindustrie";"2009";"5312";"4305";"1007";"1000";"-51.4";"-50.7";"-53.8";"105.1";"106.2";"100.7"
"29 Auto- en aanhangwagenindustrie";"2010**";"7621";"6106";"1515";"1571";"42.4";"39.0";"57.1";"105.9";"108.4";"96.5"
"29 Auto- en aanhangwagenindustrie";"2011*";"10229";"8168";"2061";"2208";"32.2";"30.2";"40.6";"107.5";"111.4";"93.3"
"30 Overige transportmiddelenindustrie";"1988";"2122";"1645";"477";"676";".";".";".";"77.6";"79.8";"70.6"
"30 Overige transportmiddelenindustrie";"1989";"2524";"1929";"595";"764";"14.8";"15.3";"13.0";"80.4";"81.1";"77.9"
"30 Overige transportmiddelenindustrie";"1990";"2912";"2322";"590";"770";"15.0";"19.3";"0.8";"80.7";"81.9";"76.6"
"30 Overige transportmiddelenindustrie";"1991";"3184";"2493";"691";"830";"6.0";"5.5";"7.8";"83.3";"83.3";"83.3"
"30 Overige transportmiddelenindustrie";"1992";"3163";"2480";"683";"784";"-2.6";"-1.8";"-5.5";"84.9";"84.4";"87.1"
"30 Overige transportmiddelenindustrie";"1993";"2942";"2234";"708";"740";"-9.2";"-10.2";"-5.7";"87.0";"84.6";"95.7"
"30 Overige transportmiddelenindustrie";"1994";"2798";"2163";"635";"727";"-3.6";"-4.3";"-1.7";"85.9";"85.6";"87.3"
"30 Overige transportmiddelenindustrie";"1995";"2954";"2267";"687";"775";"4.3";"3.6";"6.6";"86.9";"86.6";"88.6"
"30 Overige transportmiddelenindustrie";"1996";"2696";"2108";"588";"775";"-5.6";"-7.2";"0.0";"84.0";"86.8";"75.9"
"30 Overige transportmiddelenindustrie";"1997";"2780";"2147";"633";"800";"1.7";"1.3";"3.2";"85.1";"87.2";"79.1"
"30 Overige transportmiddelenindustrie";"1998";"3241";"2522";"719";"817";"11.8";"14.7";"2.1";"88.8";"89.4";"88.0"
"30 Overige transportmiddelenindustrie";"1999";"3203";"2450";"753";"833";"-2.9";"-4.3";"1.9";"90.4";"90.7";"90.4"
"30 Overige transportmiddelenindustrie";"2000";"3317";"2592";"725";"816";"1.7";"2.9";"-2.0";"92.0";"93.3";"88.9"
"30 Overige transportmiddelenindustrie";"2001";"3714";"2759";"955";"1113";"10.3";"2.9";"36.4";"93.4";"96.5";"85.8"
"30 Overige transportmiddelenindustrie";"2002";"3640";"2660";"980";"1069";"-4.7";"-5.0";"-4.0";"96.1";"97.9";"91.7"
"30 Overige transportmiddelenindustrie";"2003";"3463";"2495";"968";"1011";"-6.2";"-6.5";"-5.4";"97.5";"98.2";"95.8"
"30 Overige transportmiddelenindustrie";"2004";"3485";"2495";"990";"1008";"-0.6";"-0.7";"-0.3";"98.7";"98.9";"98.2"
"30 Overige transportmiddelenindustrie";"2005";"3561";"2543";"1018";"1018";"0.9";"0.8";"1.0";"100.0";"100.0";"100.0"
"30 Overige transportmiddelenindustrie";"2006";"3651";"2616";"1035";"1025";"1.2";"1.4";"0.7";"101.3";"101.4";"101.0"
"30 Overige transportmiddelenindustrie";"2007";"4559";"3306";"1253";"1233";"22.7";"23.7";"20.3";"103.1";"103.7";"101.6"
"30 Overige transportmiddelenindustrie";"2008";"5002";"3713";"1289";"1227";"6.7";"9.4";"-0.5";"106.0";"106.4";"105.0"
"30 Overige transportmiddelenindustrie";"2009";"4791";"3587";"1204";"1185";"-3.4";"-3.4";"-3.4";"105.1";"106.4";"101.6"
"30 Overige transportmiddelenindustrie";"2010**";"4667";"3531";"1136";"1142";"-3.3";"-3.1";"-3.7";"105.8";"108.1";"99.5"
"30 Overige transportmiddelenindustrie";"2011*";"4710";"3568";"1142";"1130";"-0.4";"-0.2";"-1.1";"107.3";"109.5";"101.1"
"31-32 Meubel- en overige industrie";"1988";"5177";"2481";"2696";"3701";".";".";".";"78.3";"84.1";"72.8"
"31-32 Meubel- en overige industrie";"1989";"5342";"2633";"2709";"3709";"2.1";"4.1";"0.2";"79.2";"85.8";"73.0"
"31-32 Meubel- en overige industrie";"1990";"5874";"2922";"2952";"4021";"9.8";"11.2";"8.4";"79.3";"85.6";"73.4"
"31-32 Meubel- en overige industrie";"1991";"6094";"3116";"2978";"3876";"1.1";"5.8";"-3.6";"81.4";"86.3";"76.8"
"31-32 Meubel- en overige industrie";"1992";"6303";"3124";"3179";"3929";"0.8";"0.3";"1.4";"83.5";"86.3";"80.9"
"31-32 Meubel- en overige industrie";"1993";"6408";"3078";"3330";"3926";"0.0";"0.2";"-0.1";"84.9";"84.9";"84.8"
"31-32 Meubel- en overige industrie";"1994";"6578";"3175";"3403";"3977";"1.3";"1.4";"1.3";"86.0";"86.4";"85.6"
"31-32 Meubel- en overige industrie";"1995";"6923";"3364";"3559";"3975";"2.8";"5.9";"-0.1";"88.0";"86.4";"89.5"
"31-32 Meubel- en overige industrie";"1996";"7305";"3556";"3749";"4122";"4.3";"5.0";"3.7";"89.0";"87.0";"90.9"
"31-32 Meubel- en overige industrie";"1997";"7734";"3754";"3980";"4341";"4.4";"3.5";"5.3";"90.2";"88.7";"91.7"
"31-32 Meubel- en overige industrie";"1998";"8265";"3999";"4266";"4589";"5.2";"4.7";"5.7";"91.6";"90.2";"93.0"
"31-32 Meubel- en overige industrie";"1999";"8772";"4232";"4540";"4875";"5.6";"5.0";"6.2";"92.1";"91.0";"93.1"
"31-32 Meubel- en overige industrie";"2000";"9187";"4476";"4711";"5039";"2.7";"2.0";"3.4";"93.9";"94.4";"93.5"
"31-32 Meubel- en overige industrie";"2001";"9295";"4511";"4784";"5022";"-0.9";"-1.4";"-0.3";"95.8";"96.5";"95.3"
"31-32 Meubel- en overige industrie";"2002";"9222";"4329";"4893";"5020";"-1.9";"-3.9";"0.0";"96.9";"96.3";"97.5"
"31-32 Meubel- en overige industrie";"2003";"9202";"4188";"5014";"5008";"-1.6";"-3.1";"-0.2";"98.3";"96.2";"100.1"
"31-32 Meubel- en overige industrie";"2004";"9258";"4261";"4997";"5037";"0.3";"0.0";"0.6";"98.6";"97.8";"99.2"
"31-32 Meubel- en overige industrie";"2005";"9531";"4428";"5103";"5103";"1.5";"1.6";"1.3";"100.0";"100.0";"100.0"
"31-32 Meubel- en overige industrie";"2006";"9809";"4535";"5274";"5173";"1.0";"0.6";"1.4";"101.9";"101.8";"102.0"
"31-32 Meubel- en overige industrie";"2007";"10304";"4826";"5478";"5420";"4.4";"4.1";"4.8";"102.5";"104.2";"101.1"
"31-32 Meubel- en overige industrie";"2008";"10742";"4996";"5746";"5620";"2.5";"1.1";"3.7";"104.2";"106.6";"102.2"
"31-32 Meubel- en overige industrie";"2009";"10029";"4348";"5681";"5224";"-9.1";"-11.5";"-7.0";"107.1";"104.8";"108.7"
"31-32 Meubel- en overige industrie";"2010**";"10254";"4560";"5694";"5170";"0.3";"2.1";"-1.0";"109.2";"107.7";"110.1"
"31-32 Meubel- en overige industrie";"2011*";"10171";"4623";"5548";"5062";"-1.7";"-1.2";"-2.1";"110.2";"110.6";"109.6"
"33 Reparatie en installatie van machines";"1988";"3386";"2483";"903";"1138";".";".";".";"79.6";"79.7";"79.3"
"33 Reparatie en installatie van machines";"1989";"4032";"2873";"1159";"1352";"15.1";"13.7";"18.8";"82.4";"81.1";"85.7"
"33 Reparatie en installatie van machines";"1990";"4458";"3279";"1179";"1386";"10.1";"13.2";"2.5";"82.7";"81.8";"85.1"
"33 Reparatie en installatie van machines";"1991";"4710";"3516";"1194";"1501";"6.3";"5.6";"8.3";"82.2";"83.0";"79.5"
"33 Reparatie en installatie van machines";"1992";"4686";"3503";"1183";"1406";"-2.8";"-1.6";"-6.4";"84.1";"84.1";"84.1"
"33 Reparatie en installatie van machines";"1993";"4554";"3197";"1357";"1459";"-5.7";"-9.0";"3.8";"86.7";"84.3";"93.0"
"33 Reparatie en installatie van machines";"1994";"4433";"3130";"1303";"1478";"-1.9";"-3.2";"1.3";"86.1";"85.2";"88.2"
"33 Reparatie en installatie van machines";"1995";"4849";"3345";"1504";"1721";"8.7";"5.4";"16.5";"86.6";"86.4";"87.4"
"33 Reparatie en installatie van machines";"1996";"4628";"3162";"1466";"1812";"-2.5";"-6.0";"5.3";"84.8";"86.9";"80.9"
"33 Reparatie en installatie van machines";"1997";"4777";"3332";"1445";"1770";"2.2";"4.3";"-2.3";"85.7";"87.8";"81.6"
"33 Reparatie en installatie van machines";"1998";"5378";"3590";"1788";"2071";"9.3";"6.0";"17.0";"88.2";"89.3";"86.3"
"33 Reparatie en installatie van machines";"1999";"5337";"3621";"1716";"1924";"-2.4";"-0.1";"-7.1";"89.7";"90.1";"89.2"
"33 Reparatie en installatie van machines";"2000";"5646";"4009";"1637";"1885";"4.2";"7.2";"-2.0";"91.0";"93.1";"86.9"
"33 Reparatie en installatie van machines";"2001";"5987";"4150";"1837";"2104";"3.8";"0.6";"11.6";"93.0";"95.8";"87.3"
"33 Reparatie en installatie van machines";"2002";"6055";"4104";"1951";"2091";"-0.7";"-0.7";"-0.6";"94.8";"95.5";"93.3"
"33 Reparatie en installatie van machines";"2003";"5906";"3971";"1935";"2018";"-3.4";"-3.4";"-3.5";"95.7";"95.6";"95.9"
"33 Reparatie en installatie van machines";"2004";"6048";"4103";"1945";"2032";"0.6";"0.6";"0.7";"97.4";"98.2";"95.7"
"33 Reparatie en installatie van machines";"2005";"6395";"4307";"2088";"2088";"3.0";"3.1";"2.8";"100.0";"100.0";"100.0"
"33 Reparatie en installatie van machines";"2006";"7041";"4783";"2258";"2231";"8.3";"9.1";"6.8";"101.6";"101.8";"101.2"
"33 Reparatie en installatie van machines";"2007";"7675";"5236";"2439";"2412";"7.4";"7.1";"8.1";"103.1";"104.1";"101.1"
"33 Reparatie en installatie van machines";"2008";"7988";"5398";"2590";"2430";"0.6";"0.6";"0.7";"106.7";"106.7";"106.6"
"33 Reparatie en installatie van machines";"2009";"7616";"5099";"2517";"2285";"-5.5";"-5.3";"-5.9";"107.6";"106.4";"110.1"
"33 Reparatie en installatie van machines";"2010**";"8101";"5580";"2521";"2350";"5.4";"6.7";"2.8";"108.6";"109.1";"107.3"
"33 Reparatie en installatie van machines";"2011*";"8413";"5822";"2591";"2430";"2.8";"2.5";"3.4";"109.7";"111.1";"106.6"
"35 Energiebedrijven";"1988";"10813";"7586";"3227";"4873";".";".";".";"62.1";"60.9";"66.2"
"35 Energiebedrijven";"1989";"11183";"7872";"3311";"4988";"3.1";"3.5";"2.4";"62.3";"61.1";"66.4"
"35 Energiebedrijven";"1990";"12526";"9161";"3365";"4936";"4.3";"6.6";"-1.0";"66.9";"66.7";"68.2"
"35 Energiebedrijven";"1991";"14154";"10574";"3580";"5174";"9.3";"11.0";"4.8";"69.1";"69.4";"69.2"
"35 Energiebedrijven";"1992";"14159";"10494";"3665";"5061";"1.2";"2.3";"-2.2";"68.3";"67.3";"72.4"
"35 Energiebedrijven";"1993";"14665";"10816";"3849";"5108";"3.8";"4.9";"0.9";"68.1";"66.1";"75.3"
"35 Energiebedrijven";"1994";"15109";"11152";"3957";"5084";"1.7";"2.5";"-0.5";"69.0";"66.5";"77.8"
"35 Energiebedrijven";"1995";"15950";"11798";"4152";"5145";"2.7";"3.2";"1.2";"70.9";"68.2";"80.7"
"35 Energiebedrijven";"1996";"17035";"12668";"4367";"5386";"5.2";"5.3";"4.7";"72.0";"69.5";"81.1"
"35 Energiebedrijven";"1997";"17375";"13469";"3906";"4891";"-1.1";"1.7";"-9.2";"74.3";"72.7";"79.9"
"35 Energiebedrijven";"1998";"17646";"13422";"4224";"4907";"1.5";"1.9";"0.3";"74.3";"71.1";"86.1"
"35 Energiebedrijven";"1999";"17510";"13270";"4240";"4773";"0.4";"1.4";"-2.7";"73.4";"69.3";"88.8"
"35 Energiebedrijven";"2000";"19210";"15150";"4060";"4979";"2.9";"2.4";"4.3";"78.3";"77.2";"81.5"
"35 Energiebedrijven";"2001";"21276";"16828";"4448";"5214";"2.8";"2.2";"4.7";"84.4";"83.9";"85.3"
"35 Energiebedrijven";"2002";"22208";"16329";"5879";"5943";"1.0";"-2.5";"14.0";"87.3";"83.5";"98.9"
"35 Energiebedrijven";"2003";"23627";"17389";"6238";"5839";"0.4";"1.2";"-1.8";"92.5";"87.9";"106.8"
"35 Energiebedrijven";"2004";"23311";"17546";"5765";"5877";"1.5";"1.9";"0.7";"89.9";"87.1";"98.1"
"35 Energiebedrijven";"2005";"27334";"20401";"6933";"6933";"5.4";"1.2";"18.0";"100.0";"100.0";"100.0"
"35 Energiebedrijven";"2006";"31874";"23859";"8015";"6757";"-0.4";"0.3";"-2.5";"117.1";"116.6";"118.6"
"35 Energiebedrijven";"2007";"33271";"24255";"9016";"6616";"-0.8";"-0.3";"-2.1";"123.2";"118.9";"136.3"
"35 Energiebedrijven";"2008";"38076";"28631";"9445";"6853";"3.8";"3.9";"3.6";"135.8";"135.1";"137.8"
"35 Energiebedrijven";"2009";"38227";"25332";"12895";"6933";"-0.9";"-1.5";"1.2";"137.5";"121.4";"186.0"
"35 Energiebedrijven";"2010**";"38543";"26158";"12385";"7338";"6.7";"7.1";"5.8";"130.0";"117.0";"168.8"
"35 Energiebedrijven";"2011*";"37468";"26364";"11104";"6893";"-6.0";"-6.0";"-6.1";"134.4";"125.4";"161.1"
"36 Waterleidingbedrijven";"1988";"959";"356";"603";"1102";".";".";".";"60.9";"72.6";"54.7"
"36 Waterleidingbedrijven";"1989";"984";"369";"615";"1100";"0.7";"2.2";"-0.2";"62.1";"73.6";"55.9"
"36 Waterleidingbedrijven";"1990";"1002";"380";"622";"1104";"1.3";"3.0";"0.3";"62.4";"73.6";"56.3"
"36 Waterleidingbedrijven";"1991";"1016";"392";"624";"1074";"-0.6";"2.9";"-2.7";"63.6";"73.8";"58.1"
"36 Waterleidingbedrijven";"1992";"1112";"409";"703";"1108";"3.1";"3.1";"3.2";"67.5";"74.7";"63.4"
"36 Waterleidingbedrijven";"1993";"1118";"416";"702";"966";"-8.2";"-0.2";"-12.8";"73.9";"76.2";"72.6"
"36 Waterleidingbedrijven";"1994";"1205";"437";"768";"982";"2.2";"3.4";"1.6";"77.9";"77.4";"78.2"
"36 Waterleidingbedrijven";"1995";"1278";"459";"819";"997";"2.2";"3.4";"1.6";"80.8";"78.6";"82.2"
"36 Waterleidingbedrijven";"1996";"1386";"490";"896";"1042";"4.3";"3.9";"4.5";"84.0";"80.8";"86.0"
