"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"03 Visserij";"1991";"513";"194";"319";"262";"6.5";"0.0";"11.0";"88.2";"64.3";"121.6"
"03 Visserij";"1992";"462";"188";"274";"226";"-9.0";"-1.0";"-13.8";"87.3";"63.0";"121.1"
"03 Visserij";"1993";"428";"186";"242";"195";"-5.8";"5.9";"-13.9";"85.9";"58.9";"124.2"
"03 Visserij";"1994";"444";"194";"250";"239";"14.3";"3.2";"22.7";"78.0";"59.5";"104.6"
"03 Visserij";"1995";"471";"191";"280";"251";"2.3";"-1.0";"4.8";"80.9";"59.2";"111.7"
"03 Visserij";"1996";"452";"195";"257";"233";"-6.2";"-4.7";"-7.1";"82.7";"63.4";"110.5"
"03 Visserij";"1997";"449";"194";"255";"206";"-7.3";"-2.1";"-11.3";"88.6";"64.4";"123.5"
"03 Visserij";"1998";"491";"195";"296";"229";"8.2";"4.6";"11.0";"89.5";"61.9";"129.2"
"03 Visserij";"1999";"522";"216";"306";"236";"3.3";"3.6";"3.0";"92.2";"66.2";"129.6"
"03 Visserij";"2000";"511";"245";"266";"209";"-9.4";"-6.5";"-11.4";"99.6";"80.2";"127.2"
"03 Visserij";"2001";"542";"247";"295";"218";"2.7";"0.8";"4.5";"102.8";"80.2";"135.0"
"03 Visserij";"2002";"488";"225";"263";"187";"-12.4";"-10.1";"-14.2";"105.6";"81.3";"140.4"
"03 Visserij";"2003";"497";"237";"260";"193";"2.9";"2.7";"3.0";"104.6";"83.4";"134.7"
"03 Visserij";"2004";"465";"245";"220";"197";"0.4";"-1.3";"1.9";"97.5";"87.4";"111.8"
"03 Visserij";"2005";"472";"277";"195";"195";"-1.1";"-1.2";"-0.9";"100.0";"100.0";"100.0"
"03 Visserij";"2006";"474";"284";"190";"171";"-8.7";"-6.1";"-12.3";"110.0";"109.2";"111.1"
