"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"Sectoren";"Balansposten";"Totaal energieaanbod";"Totaal energieverbruik"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"IJzer- en staalindustrie";"PJ";"100.95";"100.95"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Non-ferrometalenindustrie";"PJ";"25.10";"25.10"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"25-28 Metaalproducten/machine-industrie";"PJ";"42.33";"42.33"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"29-30 Transportmiddelenindustrie";"PJ";"5.77";"5.77"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"31-33 Overige industrie en reparatie";"PJ";"19.36";"19.36"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"F Bouwnijverheid";"PJ";"33.51";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Vervoer";"PJ";"446.64";"446.64"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Railverkeer";"PJ";"7.82";"7.82"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Wegverkeer";"PJ";"426.93";"426.93"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Scheepvaart";"PJ";"7.62";"7.62"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Luchtvaart";"PJ";"4.26";"4.26"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Particuliere huishoudens";"PJ";"517.90";"517.90"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Landbouw, visserij en dienstverlening";"PJ";"541.52";"541.52"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Landbouw";"PJ";"182.86";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"E Waterbedrijven en afvalbeheer";"PJ";"38.97";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"G-U Dienstverlening";"PJ";"319.69";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Nederland totaal";"PJ";"2999.88";"2999.94"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Energiesector";"PJ";"559.26";"559.32"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"06 Winning van aardolie en aardgas";"PJ";"32.59";"32.59"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Cokesfabrieken";"PJ";"15.83";"15.84"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"192 Aardolie-industrie";"PJ";"181.61";"181.61"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"35 Energiebedrijven";"PJ";"329.23";"329.27"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Totaal energieafnemers";"PJ";"2440.62";"2440.62"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"Nijverheid (geen energiesector)";"PJ";"1050.30";"1050.30"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"4.33";"4.33"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1997";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"97.79";"97.79"
