"B Delfstoffenwinning";"Grootteklasse";"50 tot 100 werkzame personen";"2009";"aantal";"10"
"B Delfstoffenwinning";"Grootteklasse";"50 tot 100 werkzame personen";"2010";"aantal";"10"
"B Delfstoffenwinning";"Grootteklasse";"100 werkzame personen of meer";"2006";"aantal";"15"
"B Delfstoffenwinning";"Grootteklasse";"100 werkzame personen of meer";"2007";"aantal";"15"
"B Delfstoffenwinning";"Grootteklasse";"100 werkzame personen of meer";"2008";"aantal";"15"
"B Delfstoffenwinning";"Grootteklasse";"100 werkzame personen of meer";"2009";"aantal";"20"
"B Delfstoffenwinning";"Grootteklasse";"100 werkzame personen of meer";"2010";"aantal";"20"
"C Industrie";"Grootteklasse";"1 werkzame persoon";"2006";"aantal";"14540"
"C Industrie";"Grootteklasse";"1 werkzame persoon";"2007";"aantal";"16035"
"C Industrie";"Grootteklasse";"1 werkzame persoon";"2008";"aantal";"18135"
"C Industrie";"Grootteklasse";"1 werkzame persoon";"2009";"aantal";"19830"
"C Industrie";"Grootteklasse";"1 werkzame persoon";"2010";"aantal";"20340"
"C Industrie";"Grootteklasse";"2 werkzame personen";"2006";"aantal";"7255"
"C Industrie";"Grootteklasse";"2 werkzame personen";"2007";"aantal";"5715"
"C Industrie";"Grootteklasse";"2 werkzame personen";"2008";"aantal";"5745"
"C Industrie";"Grootteklasse";"2 werkzame personen";"2009";"aantal";"6035"
"C Industrie";"Grootteklasse";"2 werkzame personen";"2010";"aantal";"6085"
"C Industrie";"Grootteklasse";"3 tot 5 werkzame personen";"2006";"aantal";"4410"
"C Industrie";"Grootteklasse";"3 tot 5 werkzame personen";"2007";"aantal";"4725"
"C Industrie";"Grootteklasse";"3 tot 5 werkzame personen";"2008";"aantal";"4645"
"C Industrie";"Grootteklasse";"3 tot 5 werkzame personen";"2009";"aantal";"4540"
"C Industrie";"Grootteklasse";"3 tot 5 werkzame personen";"2010";"aantal";"4425"
"C Industrie";"Grootteklasse";"5 tot 10 werkzame personen";"2006";"aantal";"5030"
"C Industrie";"Grootteklasse";"5 tot 10 werkzame personen";"2007";"aantal";"5505"
"C Industrie";"Grootteklasse";"5 tot 10 werkzame personen";"2008";"aantal";"5280"
"C Industrie";"Grootteklasse";"5 tot 10 werkzame personen";"2009";"aantal";"5100"
"C Industrie";"Grootteklasse";"5 tot 10 werkzame personen";"2010";"aantal";"4940"
"C Industrie";"Grootteklasse";"10 tot 20 werkzame personen";"2006";"aantal";"3920"
"C Industrie";"Grootteklasse";"10 tot 20 werkzame personen";"2007";"aantal";"4180"
"C Industrie";"Grootteklasse";"10 tot 20 werkzame personen";"2008";"aantal";"3970"
"C Industrie";"Grootteklasse";"10 tot 20 werkzame personen";"2009";"aantal";"4055"
"C Industrie";"Grootteklasse";"10 tot 20 werkzame personen";"2010";"aantal";"3920"
"C Industrie";"Grootteklasse";"20 tot 50 werkzame personen";"2006";"aantal";"3495"
"C Industrie";"Grootteklasse";"20 tot 50 werkzame personen";"2007";"aantal";"3620"
"C Industrie";"Grootteklasse";"20 tot 50 werkzame personen";"2008";"aantal";"3330"
"C Industrie";"Grootteklasse";"20 tot 50 werkzame personen";"2009";"aantal";"3455"
"C Industrie";"Grootteklasse";"20 tot 50 werkzame personen";"2010";"aantal";"3270"
"C Industrie";"Grootteklasse";"50 tot 100 werkzame personen";"2006";"aantal";"1230"
"C Industrie";"Grootteklasse";"50 tot 100 werkzame personen";"2007";"aantal";"1235"
"C Industrie";"Grootteklasse";"50 tot 100 werkzame personen";"2008";"aantal";"1180"
"C Industrie";"Grootteklasse";"50 tot 100 werkzame personen";"2009";"aantal";"1300"
"C Industrie";"Grootteklasse";"50 tot 100 werkzame personen";"2010";"aantal";"1270"
"C Industrie";"Grootteklasse";"100 werkzame personen of meer";"2006";"aantal";"1325"
"C Industrie";"Grootteklasse";"100 werkzame personen of meer";"2007";"aantal";"1345"
"C Industrie";"Grootteklasse";"100 werkzame personen of meer";"2008";"aantal";"1235"
"C Industrie";"Grootteklasse";"100 werkzame personen of meer";"2009";"aantal";"1355"
"C Industrie";"Grootteklasse";"100 werkzame personen of meer";"2010";"aantal";"1315"
"D Energievoorziening";"Grootteklasse";"1 werkzame persoon";"2006";"aantal";"225"
"D Energievoorziening";"Grootteklasse";"1 werkzame persoon";"2007";"aantal";"260"
"D Energievoorziening";"Grootteklasse";"1 werkzame persoon";"2008";"aantal";"280"
"D Energievoorziening";"Grootteklasse";"1 werkzame persoon";"2009";"aantal";"370"
"D Energievoorziening";"Grootteklasse";"1 werkzame persoon";"2010";"aantal";"350"
"D Energievoorziening";"Grootteklasse";"2 werkzame personen";"2006";"aantal";"155"
"D Energievoorziening";"Grootteklasse";"2 werkzame personen";"2007";"aantal";"135"
"D Energievoorziening";"Grootteklasse";"2 werkzame personen";"2008";"aantal";"140"
"D Energievoorziening";"Grootteklasse";"2 werkzame personen";"2009";"aantal";"160"
"D Energievoorziening";"Grootteklasse";"2 werkzame personen";"2010";"aantal";"165"
"D Energievoorziening";"Grootteklasse";"3 tot 5 werkzame personen";"2006";"aantal";"40"
"D Energievoorziening";"Grootteklasse";"3 tot 5 werkzame personen";"2007";"aantal";"55"
"D Energievoorziening";"Grootteklasse";"3 tot 5 werkzame personen";"2008";"aantal";"50"
"D Energievoorziening";"Grootteklasse";"3 tot 5 werkzame personen";"2009";"aantal";"60"
"D Energievoorziening";"Grootteklasse";"3 tot 5 werkzame personen";"2010";"aantal";"60"
"D Energievoorziening";"Grootteklasse";"5 tot 10 werkzame personen";"2006";"aantal";"15"
"D Energievoorziening";"Grootteklasse";"5 tot 10 werkzame personen";"2007";"aantal";"20"
"D Energievoorziening";"Grootteklasse";"5 tot 10 werkzame personen";"2008";"aantal";"20"
"D Energievoorziening";"Grootteklasse";"5 tot 10 werkzame personen";"2009";"aantal";"30"
"D Energievoorziening";"Grootteklasse";"5 tot 10 werkzame personen";"2010";"aantal";"35"
"D Energievoorziening";"Grootteklasse";"10 tot 20 werkzame personen";"2006";"aantal";"5"
"D Energievoorziening";"Grootteklasse";"10 tot 20 werkzame personen";"2007";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"10 tot 20 werkzame personen";"2008";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"10 tot 20 werkzame personen";"2009";"aantal";"15"
"D Energievoorziening";"Grootteklasse";"10 tot 20 werkzame personen";"2010";"aantal";"15"
"D Energievoorziening";"Grootteklasse";"20 tot 50 werkzame personen";"2006";"aantal";"15"
"D Energievoorziening";"Grootteklasse";"20 tot 50 werkzame personen";"2007";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"20 tot 50 werkzame personen";"2008";"aantal";"15"
"D Energievoorziening";"Grootteklasse";"20 tot 50 werkzame personen";"2009";"aantal";"20"
"D Energievoorziening";"Grootteklasse";"20 tot 50 werkzame personen";"2010";"aantal";"20"
"D Energievoorziening";"Grootteklasse";"50 tot 100 werkzame personen";"2006";"aantal";"5"
"D Energievoorziening";"Grootteklasse";"50 tot 100 werkzame personen";"2007";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"50 tot 100 werkzame personen";"2008";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"50 tot 100 werkzame personen";"2009";"aantal";"10"
"D Energievoorziening";"Grootteklasse";"50 tot 100 werkzame personen";"2010";"aantal";"5"
"D Energievoorziening";"Grootteklasse";"100 werkzame personen of meer";"2006";"aantal";"25"
"D Energievoorziening";"Grootteklasse";"100 werkzame personen of meer";"2007";"aantal";"30"
"D Energievoorziening";"Grootteklasse";"100 werkzame personen of meer";"2008";"aantal";"25"
"D Energievoorziening";"Grootteklasse";"100 werkzame personen of meer";"2009";"aantal";"25"
"D Energievoorziening";"Grootteklasse";"100 werkzame personen of meer";"2010";"aantal";"25"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"1 werkzame persoon";"2006";"aantal";"365"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"1 werkzame persoon";"2007";"aantal";"385"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"1 werkzame persoon";"2008";"aantal";"420"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"1 werkzame persoon";"2009";"aantal";"475"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"1 werkzame persoon";"2010";"aantal";"510"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"2 werkzame personen";"2006";"aantal";"150"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"2 werkzame personen";"2007";"aantal";"130"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"2 werkzame personen";"2008";"aantal";"130"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"2 werkzame personen";"2009";"aantal";"130"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"2 werkzame personen";"2010";"aantal";"145"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"3 tot 5 werkzame personen";"2006";"aantal";"105"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"3 tot 5 werkzame personen";"2007";"aantal";"115"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"3 tot 5 werkzame personen";"2008";"aantal";"125"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"3 tot 5 werkzame personen";"2009";"aantal";"130"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"3 tot 5 werkzame personen";"2010";"aantal";"125"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"5 tot 10 werkzame personen";"2006";"aantal";"170"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"5 tot 10 werkzame personen";"2007";"aantal";"175"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"5 tot 10 werkzame personen";"2008";"aantal";"160"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"5 tot 10 werkzame personen";"2009";"aantal";"150"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"5 tot 10 werkzame personen";"2010";"aantal";"150"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"10 tot 20 werkzame personen";"2006";"aantal";"120"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"10 tot 20 werkzame personen";"2007";"aantal";"155"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"10 tot 20 werkzame personen";"2008";"aantal";"145"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"10 tot 20 werkzame personen";"2009";"aantal";"145"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"10 tot 20 werkzame personen";"2010";"aantal";"140"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"20 tot 50 werkzame personen";"2006";"aantal";"115"
"E Waterbedrijven en afvalbeheer";"Grootteklasse";"20 tot 50 werkzame personen";"2007";"aantal";"130"
