"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"4939 Overig personenvervoer over de weg","2010 2e kwartaal","127,3","-0,4"
"4939 Overig personenvervoer over de weg","2010 3e kwartaal","119,2","-1,1"
"4939 Overig personenvervoer over de weg","2010 4e kwartaal","120,7","0,6"
"4939 Overig personenvervoer over de weg","2010","122,1","1,4"
"4939 Overig personenvervoer over de weg","2011 1e kwartaal","121,4","0,2"
"4939 Overig personenvervoer over de weg","2011 2e kwartaal","130,8","2,7"
"4939 Overig personenvervoer over de weg","2011 3e kwartaal","127,7","7,1"
"4939 Overig personenvervoer over de weg","2011 4e kwartaal","120,4","-0,2"
"4939 Overig personenvervoer over de weg","2011","125,1","2,5"
"4939 Overig personenvervoer over de weg","2012 1e kwartaal**","120,5","-0,8"
"4939 Overig personenvervoer over de weg","2012 2e kwartaal*","132,9","1,6"
"494 Goederenvervoer over de weg","2005 1e kwartaal","90,2"," "
"494 Goederenvervoer over de weg","2005 2e kwartaal","100,9"," "
"494 Goederenvervoer over de weg","2005 3e kwartaal","99,3"," "
"494 Goederenvervoer over de weg","2005 4e kwartaal","109,6"," "
"494 Goederenvervoer over de weg","2005","100,0"," "
"494 Goederenvervoer over de weg","2006 1e kwartaal","101,1","12,1"
"494 Goederenvervoer over de weg","2006 2e kwartaal","113,3","12,2"
"494 Goederenvervoer over de weg","2006 3e kwartaal","110,0","10,8"
"494 Goederenvervoer over de weg","2006 4e kwartaal","119,9","9,4"
"494 Goederenvervoer over de weg","2006","111,0","11,0"
"494 Goederenvervoer over de weg","2007 1e kwartaal","111,5","10,4"
"494 Goederenvervoer over de weg","2007 2e kwartaal","123,0","8,5"
"494 Goederenvervoer over de weg","2007 3e kwartaal","119,1","8,3"
"494 Goederenvervoer over de weg","2007 4e kwartaal","124,9","4,2"
"494 Goederenvervoer over de weg","2007","119,6","7,7"
"494 Goederenvervoer over de weg","2008 1e kwartaal","118,0","5,8"
"494 Goederenvervoer over de weg","2008 2e kwartaal","129,2","5,1"
"494 Goederenvervoer over de weg","2008 3e kwartaal","125,7","5,5"
"494 Goederenvervoer over de weg","2008 4e kwartaal","125,4","0,4"
"494 Goederenvervoer over de weg","2008","124,6","4,1"
"494 Goederenvervoer over de weg","2009 1e kwartaal","104,5","-11,4"
"494 Goederenvervoer over de weg","2009 2e kwartaal","112,0","-13,3"
"494 Goederenvervoer over de weg","2009 3e kwartaal","108,5","-13,7"
"494 Goederenvervoer over de weg","2009 4e kwartaal","113,7","-9,3"
"494 Goederenvervoer over de weg","2009","109,7","-12,0"
"494 Goederenvervoer over de weg","2010 1e kwartaal","100,4","-3,9"
"494 Goederenvervoer over de weg","2010 2e kwartaal","114,3","2,1"
"494 Goederenvervoer over de weg","2010 3e kwartaal","113,2","4,3"
"494 Goederenvervoer over de weg","2010 4e kwartaal","122,7","7,9"
"494 Goederenvervoer over de weg","2010","112,6","2,7"
"494 Goederenvervoer over de weg","2011 1e kwartaal","111,7","11,3"
"494 Goederenvervoer over de weg","2011 2e kwartaal","121,8","6,5"
"494 Goederenvervoer over de weg","2011 3e kwartaal","117,7","4,0"
"494 Goederenvervoer over de weg","2011 4e kwartaal","121,2","-1,2"
"494 Goederenvervoer over de weg","2011","118,1","4,9"
"494 Goederenvervoer over de weg","2012 1e kwartaal**","109,7","-1,8"
"494 Goederenvervoer over de weg","2012 2e kwartaal*","123,5","1,4"
"4941 Goederenwegvervoer (geen verhuis-)","2005 1e kwartaal","90,2"," "
"4941 Goederenwegvervoer (geen verhuis-)","2005 2e kwartaal","100,9"," "
"4941 Goederenwegvervoer (geen verhuis-)","2005 3e kwartaal","99,3"," "
"4941 Goederenwegvervoer (geen verhuis-)","2005 4e kwartaal","109,6"," "
"4941 Goederenwegvervoer (geen verhuis-)","2005","100,0"," "
"4941 Goederenwegvervoer (geen verhuis-)","2006 1e kwartaal","101,1","12,1"
"4941 Goederenwegvervoer (geen verhuis-)","2006 2e kwartaal","113,3","12,2"
"4941 Goederenwegvervoer (geen verhuis-)","2006 3e kwartaal","110,0","10,8"
"4941 Goederenwegvervoer (geen verhuis-)","2006 4e kwartaal","119,9","9,4"
"4941 Goederenwegvervoer (geen verhuis-)","2006","111,0","11,0"
"4941 Goederenwegvervoer (geen verhuis-)","2007 1e kwartaal","111,5","10,4"
"4941 Goederenwegvervoer (geen verhuis-)","2007 2e kwartaal","123,0","8,5"
"4941 Goederenwegvervoer (geen verhuis-)","2007 3e kwartaal","119,1","8,3"
"4941 Goederenwegvervoer (geen verhuis-)","2007 4e kwartaal","124,9","4,2"
"4941 Goederenwegvervoer (geen verhuis-)","2007","119,6","7,7"
"4941 Goederenwegvervoer (geen verhuis-)","2008 1e kwartaal","118,0","5,8"
"4941 Goederenwegvervoer (geen verhuis-)","2008 2e kwartaal","129,2","5,1"
"4941 Goederenwegvervoer (geen verhuis-)","2008 3e kwartaal","125,7","5,5"
"4941 Goederenwegvervoer (geen verhuis-)","2008 4e kwartaal","125,4","0,4"
"4941 Goederenwegvervoer (geen verhuis-)","2008","124,6","4,1"
